id,dates,label_eng,label_ka,play_id,reference,sort_ja
1,fl. 1741-1767,Asada Icchō,浅田一鳥,"[19, 72, 105, 122]",LC Authorities,あさだいっちょう
2,nan,Ashikawa Teruha,芦川照葉,[173],LC Authorities,あしかわてるは
4,d. 1786 or 7,Chikamatsu Hanji,近松半二,"[11, 21, 25, 27, 29, 33, 52, 79, 80, 90, 101, 110, 141, 147]",LC Authorities,ちかまつはんじ
5,nan,Chikamatsu Kosuiken,近松湖水軒,[16],"繪本太功記 / 近松やなぎ, 近松湖水軒, 千葉軒合作, 東京 : 金櫻堂, 1890.12, from NACSIS record",ちかまつこすいけん
6,nan,Chikamatsu Monzaemon,近松門左衛門,"[1, 2, 3, 4, 7, 8, 17, 24, 28, 34, 40, 41, 54, 61, 76, 85, 87, 106, 107, 113, 136, 144, 148, 161, 174, 176]",LC Authorities,ちかまつもんざえもん
7,nan,Chikamatsu Sen'yōken,近松千葉軒,[16],"繪本太功記 / 近松やなぎ, 近松湖水軒, 千葉軒合作, 東京 : 金櫻堂, 1890.12, from NACSIS record",ちかまつせんようけん
8,nan,Chikamatsu Yasuzō,近松保蔵,[78],nan,ちかまつやすぞう
9,nan,Fukuda Kakei,nan,[nan],nan,ふくだかけい
10,1689-1733,Hasegawa Senshi,長谷川千四,"[36, 81, 83, 149]","LC Authorities; 壇浦兜軍記 / 文耕堂, 長谷川千四著; [出版地不明] : [出版者不明], [出版年不明] from NACSIS record",はせがわせんし
11,nan,Hōjō Hideji,nan,[160],nan,ほうじょうひでじ
12,1663-1742,Ki Kaion,紀海音,[82],LC Authorities,きかいおん
13,nan,Kino Jōtarō,紀上太郎,[22],"碁太平記白石噺 : 一幕 / 紀上太郎, 烏亭焉馬, 容楊黛作, [東京] : 国立劇場, 1995.3 from a NACSIS record",きのじょうたろう
14,nan,Kinoshita Junji,木下順二,"[9, 134, 162]",nan,きのしたじゅんじ
15,nan,Kyokutei Bakin,nan,[nan],nan,きょくていばきん
16,nan,Matsuda Baku,松田ばく,[79],"妹脊山婦女庭訓 : 十三鐘絹懸柳 / 近松半二 [ほか] 作 ; 三好松洛後見, 東京 : 金櫻堂, 1891.5 from NACSIS record",まつだばく
17,fl. 1713-1741,Matsuda Bunkōdō,文耕堂,"[26, 36, 56, 66, 81, 83, 94, 149]","LC Authorities; 壇浦兜軍記 / 文耕堂, 長谷川千四著; [出版地不明] : [出版者不明], [出版年不明] from NACSIS record",まつだぶんこうどう
18,1925-1970,Mishima Yukio,三島由紀夫,[99],LC Authorities,みしまゆきお
19,1696?-1772?,Miyoshi Shōraku,三好松洛,"[18, 21, 26, 27, 38, 52, 56, 62, 63, 66, 71, 73, 79, 90, 91, 93, 94, 95, 101, 141, 143]","夏祭浪花鑑 / 並木千柳, 三好松洛, 竹田小出雲作, 浪華 : 山本九菓亭, [江戸中期] [刊] from NACSIS record; LC Authorities",みよししょうらく
20,fl. 1747-1781,Nakamura Akei,中邑阿契,"[19, 48, 77]",LC Authorities,なかむらあけい
21,nan,Nakawa Kamesuke,nan,[114],nan,なかわかめすけ
22,nan,Nakawa Shimesuke,奈河七五三助,"[6, 20]","近頃河原達引. 堀川猿廻しの段 / [為川宗輔, 筒井半二, 奈河七五三助, 作] (Tokyo : Victor, p2002) from NACSIS record",なかわしめすけ
23,nan,Nanba Shōzō,nan,[nan],nan,なんばしょうぞう
24,nan,Namiki Geiji,並木鯨児,[177],nan,なみきげいじ
25,1695-1751,Namiki Senryū (See also Namiki Namiki Sōsuke),並木千柳,"[18, 62, 63, 71, 73, 91, 93, 95, 143]","夏祭浪花鑑 / 並木千柳, 三好松洛, 竹田小出雲作, 浪華 : 山本九菓亭, [江戸中期] [刊] from NACSIS record; LC Authorities; 菅原傳授 / 竹田出雲, 並木千柳, 三好松洛, 竹田小出雲 [著], 寺町(京都) : 菊屋七良兵衛, [1---] from a NACSIS record",なみきせんりゅう
26,1730-1773,Namiki Shōzō,並木正三,"[72, 151, 177]",LC,なみきしょうぞう
27,1695-1751,Namiki Sōsuke (See also Namiki Senryū),並木宗輔,"[18, 65, 72, 142, 164]","苅萱桑門筑紫 / 並木宗輔作, 浪華 : 紙屋與右衛門[ほか], 享保20[1735]刊 from NACSIS record",なみきそうすけ
28,nan,Namiki Jōsuke,並木丈輔,[142],"Hironaga, Shūzabuō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976);  Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, September 1983 under Karukaya Doshin",なみきじょうすけ
29,nan,Namioka Geiji,浪岡鯨児,[72],nan,なみきげいじ
30,nan,Nozawa Katsuhei,野澤勝平,[131],nan,のざわかつへい
31,nan,Nozawa Matsunosuke,野澤松之輔,"[12, 46, 119]",December 1993 Men Uri,のざわまつのすけ
