,authority_control,character_code,character_id,image_id,label_eng,label_ja,label_ka,play_id,sort_ja
0,August 1989 Program,Akai-01,1,[56170],Farmer,Oyaji,おやじ,[162],おやじ
1,August 1989 Program,Akai-02,2,[nan],Farmer's wife,Nyōbō,女房,[162],にょうぼう
2,August 1989 Program,Akai-03,3,[nan],"Magotaro, a horse","Magotarō, Uma",孫太郎（馬）,[162],まごたろう（うま）
3,August 1989 Program,Akai-04,4,[nan],Local governor,Odaikan,お代官,[162],おだいかん
4,August 1989 Program,Akai-05,5,[nan],Local governor's assistant,Odaikan no kobun,お代官のこぶん,[162],おだいかんのこぶん
5,August 1989 Program,Akai-06,6,[nan],Village headman,Shōyasama,庄屋さま,[162],しょうやさま
6,August 1989 Program,Akai-07,7,[nan],Local governor's wife,Okugata,奥方,[162],おくがた
7,January 1996 Program,Akegarasu-01,8,[nan],Urazato,Jorō Urazato,女郎浦里,[14],うらざと
8,January 1996 Program,Akegarasu-02,9,[nan],Midori,Kamuro Midori,禿みどり,[14],みどり
9,January 1996 Program,Akegarasu-03,10,[nan],Tokijiro Kasuga,Kasuga Tokijirō,春日時次郎,[14],かすがときじろう
10,January 1996 Program,Akegarasu-04,11,[nan],Otatsu,Kamiyui Otatsu,髪結おたつ,[14],おたつ
11,January 1996 Program,Akegarasu-05,12,[nan],Okaya,Yarite Okaya,遣り手おかや,[14],おかや
12,January 1996 Program,Akegarasu-06,13,[nan],Kambei,Teishu Kanbei,亭主勘兵衛,[14],かんべい
13,January 1996 Program,Akegarasu-07,14,[nan],Hikoroku,Tedai Hikoroku,手代彦六,[14],ひころく
14,January 1989 Program,Asama-01,15,[nan],"Chuzaemon, Chief retainer",Rōkarō Chūzaemon,老家老忠左衛門,[160],ちゅうざえもん
15,January 1989 Program,Asama-02,16,[nan],"Kunimochi, Feudal lord",Daimyō Kunimochi,大名国持,[160],くにもち
16,January 1989 Program,Asama-03,17,[nan],"Hanasode, a courtesan",Hanasodedayū,花袖太夫,[160],はなそでだゆう
17,January 1989 Program,Asama-04,18,[nan],Courtesan,Yūjo,遊女,[160],ゆうじょ
18,January 1989 Program,Asama-08,19,[nan],Ukon,Kinju Ukon,近習右近,[160],うこん
19,January 1989 Program,Asama-09,20,[nan],Sakyo,Kinju Sakyō,近習左京,[160],さきょう
20,January 1989 Program,Asama-10,21,[nan],Madam,Okami,女将,[160],おかみ
21,August 1984 Program,Ashiya-01,22,[52077],Crown Prince Sakuragi,Sakuragi Shinnō,桜木親王,[15],さくらぎしんのう
22,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-02,23,[nan],Motokata,Sadaishō Motokata,左大将元方,[15],もとかた
23,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-03,24,[52077],Yoshifuru,Ono Yoshifuru,小野好古,[15],おののよしふる
24,August 1984 Program,Ashiya-04,25,"[12394, 12395, 12396, 12397, 52078, 52079, 52080, 61796, 61892]",Sakaki,Sakakino mae,榊の前,[15],さかきのまえ
25,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-05,26,[52079],Jibu,Iwakura Jibudayū,岩倉治部大輔,[15],いわくらじぶだゆう
26,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-06,27,[nan],Taro,Sakon Tarō,左近太郎,[15],さこんたろう
27,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-07,28,"[12389, 12394, 12395, 12396, 12397, 12398, 52078, 52079, 52080, 61796, 61892]",Yasunori Kamo's widow,Kamono kōshitsu,加茂の後室,[15],かものこうしつ
28,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-08,29,[12400],Heima,Inui Heima,乾平馬,[15],いぬいへいま
29,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-09,30,"[12390, 12391, 12392, 12394, 12395, 12396, 12397, 12399, 12400, 12401, 12402, 12403, 12404, 12406, 12407, 12410, 12411, 12412, 12413, 12431, 12432, 12433, 12434, 45557, 48133, 52080, 52083, 52084, 52086, 52087, 52088, 52092, 52094, 52095, 52102, 52104, 52105, 52320, 54089, 54090, 54091, 54105, 54108, 54109, 54110, 54111, 54112, 61221, 61796, 61892, 61894]",Yasuna,Abeno Yasuna,安倍保名,[15],あべやすな
30,August 1984 Program,Ashiya-10,31,"[12390, 12391, 12392, 12458, 12459, 12460, 12461, 12467, 12470, 12471, 45559, 48136, 52013, 52014, 52015, 52016, 52021, 52022, 52023, 52024, 52025, 52026, 52027, 52028, 52029, 52030, 52082, 52084, 52320, 54116, 54117, 54119, 54120, 54121]",Yokambei,Yakko Yokanbei,奴与勘平,[15],よかんべい
31,August 1984 Program,Ashiya-11,32,"[12405, 12406, 12407, 12409, 12429, 12432, 12433, 12434, 12458, 12467, 12470, 12471, 45557, 45559, 48128, 48133, 48134, 52014, 52015, 52016, 52017, 52018, 52019, 52020, 52085, 52092, 52102, 54087, 54088, 54089, 54108, 54112, 54117, 54118, 54120]",Kuzunoha,Kuzunoha Hime,葛の葉姫,[15],くずのはひめ
32,August 1984 Program,Ashiya-12,33,"[12453, 12454, 48134, 52013, 52015, 52016, 52635, 54113, 54114, 54115]",Akuemon,Ishikawa Akuemon,石川悪右衛門,[15],いしかわあくえもん
33,August 1984 Program,Ashiya-13,34,"[12410, 12411, 12412, 12413, 12414, 12415, 12416, 12417, 12418, 12419, 12420, 12421, 12422, 12423, 12424, 12425, 12426, 12427, 12428, 12429, 12430, 12435, 12436, 12437, 12438, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 45557, 48129, 48130, 48131, 48132, 52004, 52005, 52006, 52008, 52009, 52010, 52011, 52012, 52089, 52090, 52091, 52321, 52323, 54085, 54086, 54090, 54091, 54092, 54093, 54094, 54095, 54096, 54097, 54098, 54099, 54100, 54101, 54102, 54103, 54104, 54105, 54106, 54107, 61175]",Fox-Kuzunoha,Nyōbō Kuzunoha,女房葛の葉,[15],くずのは
34,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-14,35,"[12417, 12418, 12419, 12420, 12470, 12471, 45557, 48133, 48134, 52014, 52015, 52017, 52019, 52089, 52090, 52092, 52102, 52104, 52105, 54085, 54086, 54105, 54108, 54111, 54112, 54117, 54118, 54119, 54120, 54121, 61221, 61894]",Yasuna's son,Abeno Dōji,安倍童子,[15],あべのどうじ
35,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-15,36,"[52093, 54109]",Dampachi,Momengai jitsuwa Egara Danpachi,木綿買実は荏柄段八,[15],もめんがいじつはえがらだんぱち
36,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-16,37,"[12409, 12429, 45557, 45559, 48128, 48133, 52085, 52092, 52102, 54087, 54089, 54105, 54108, 54110]",Shoji,Shinodano Shōji,信田庄司,[15],しのだのしょうじ
37,August 1984 Program,Ashiya-17,38,"[12408, 12429, 45557, 45559, 48128, 48133, 54087, 54088, 54111, 54112]",Shoji's wife,Shōji no tsuma,庄司の妻,[15],しょうじのつま
38,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-18,39,"[52093, 52094, 54109]",Unzo,Shigaraki Unzō,信楽雲蔵,[15],しがらきうんぞう
39,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-19,40,"[52017, 52018, 52019]",Toji,Ochiai Tōji,落合藤治,[15],おちあいとうじ
40,"August 1984 Program, Bunka dejitaru raiburarii",Ashiya-20,41,"[12455, 12456, 12457, 12462, 12463, 12464, 12465, 12466, 12467, 12468, 12469, 12470, 12471, 45559, 48136, 52021, 52022, 52023, 52024, 52025, 52026, 52027, 52028, 52029, 52030, 54116, 54118, 54120, 54121, 61661]",Yakambei,Yakko Yakanbei,奴野干平,[15],やかんべい
41,August 1984 Program,Bakekurabe-01,42,"[51646, 51647, 51649, 51650, 51651, 51657, 51658, 51659, 51660, 51661, 51662, 52325, 59429, 59430, 59431, 59432, 59433, 59434, 59438, 59449, 59828, 59833, 59839, 59840, 59851, 59853, 59859, 59870, 61201, 64545, 64575, 64576]",Tanuki,Tanuki,狸,[126],たぬき
42,August 1984 Program,Bakekurabe-02,43,"[46072, 46074, 49333, 49334, 49335, 49336, 49337, 49338, 51648, 51649, 51650, 52325, 59421, 59828, 59852, 59860, 59861, 59862, 59864, 59865, 59869, 64544, 64575]",Kawataro,Kawatarō,川太郎,[126],かわたろう
43,August 1984 Program,Bakekurabe-03,44,"[46076, 49339, 51652, 51653, 51654, 51655, 51656, 51658, 51659, 51660, 51661, 51662, 59829, 59830, 59831, 59832, 59834, 59835, 59836, 59837, 59838, 59839, 59840, 59841, 59842, 59843, 59844, 59845, 59846, 59847, 59848, 59849, 59850, 59854, 59855, 59856]",Rokurohime,Rokuro Hime,ろくろ姫,[126],ろくろひめ
44,August 1984 Program,Bakekurabe-04,45,"[46070, 49327, 49328, 49329, 49330, 49331, 49332, 59429, 59434, 59866, 59867, 59868]",Aosaginoshin,Aosaginoshin,青鷺之進,[126],あおさぎのしん
45,August 1984 Program,Bakekurabe-05,46,"[52325, 59852, 59860, 59861, 59862, 62159, 64576]",Yukionna,Yuki onna,雪女,[126],ゆきおんな
46,August 1984 Program,Bakekurabe-06,47,"[46076, 49340, 49341, 59857, 59858]",Kawauso,Kawauso,かわうそ,[126],かわうそ
47,August 1984 Program,Bakekurabe-07,48,[nan],Kamaitachi,Kamaitachi,かまいたち,[126],かまいたち
48,August 1984 Program,Bakekurabe-08,49,[59863],Kamaitachi's retainer,Itachi no kerai,いたちの家来,[126],いたちのけらい
49,English translation not available,Botan-01,50,[nan],[Kyosei,Kyōsei,喬生,[112],きょうせい
50,English translation not available,Botan-02,51,[nan],"Old man, a neighbor",Tonari no jii,隣ノ爺,[112],となりのじい
51,English translation not available,Botan-03,52,[nan],"Old Woman, a neighbor",Tonari no baba,隣ノ婆,[112],となりのばば
52,English translation not available,Botan-05,54,[nan],Neighbor,Kinjo no hito,近所の人,[112],きんじょのひと
53,English translation not available,Botan-06,55,[nan],[Kinren,Kinren,金連,[112],きんれん
54,English translation not available,Botan-07,56,[nan],Reikei,Reikei,麗卿,[112],れいきょう
55,English translation not available,Botan-08,57,[nan],Reikei doll,Reikei waraningyō,麗卿藁人形,[112],れいきょうわらにんぎょう
56,English translation not available,Botan-09,58,[nan],[Kinren doll,Kinren waraningyō,金連藁人形,[112],きんれんわらにんぎょう
57,; English translation not available,Botan-10,59,[nan],Suikan,Suikan,酔漢,[112],すいかん
58,English translation not available,Botan-11,60,[nan],Priest at Koshinji,Koshinji no sō,湖心寺の僧,[112],こしんじのそう
59,July 1989 Program,Chikagoro-01,61,"[12287, 12288, 12291, 12292, 12293, 12294, 12301, 12302, 12304, 12312, 12313, 45522, 45524, 48361, 48363, 48366, 48367, 48369, 48370, 48373, 51795, 51796, 51799, 51800, 51801, 51802, 51803, 51804, 51805, 51806, 51807, 51898, 51899, 51900, 51901, 51902, 51903, 51904, 51905, 52378, 57457, 57462, 57463, 57464, 57465, 57466, 57467, 57468, 57471, 57472, 57473, 57474, 57475, 57476, 57477, 57478, 57479, 57480, 57481, 57482, 61790, 62147]",Yojiro,Sarumawashi Yojirō,猿廻し与次郎,[6],よじろう
60,July 1989 Program,Chikagoro-02,62,"[12288, 12289, 12290, 12295, 12296, 12299, 12300, 12301, 12302, 12305, 12306, 12308, 12309, 12318, 12338, 12339, 12340, 12341, 12346, 12347, 12348, 45522, 45524, 48363, 48366, 48367, 48368, 48370, 48373, 51795, 51796, 51797, 51798, 51801, 51809, 51810, 51811, 51812, 51813, 51814, 51815, 51816, 51817, 51818, 51819, 51820, 51821, 51823, 51824, 51825, 51899, 51900, 51904, 51905, 57458, 57459, 57460, 57461, 57462, 57463, 57464, 57465, 57466, 57469, 57470, 57471, 57472, 57473, 57475, 57476, 57477, 62147]",Oshun,Musume Oshun,娘おしゅん,[6],おしゅん
61,July 1989 Program; Bunka dejitaru raiburarii,Chikagoro-03,63,"[12297, 12298, 12299, 12300, 12303, 12304, 12307, 12309, 12314, 12315, 12316, 12317, 12318, 12337, 12341, 12342, 12343, 12344, 12345, 12347, 45524, 48368, 48370, 48373, 51795, 51796, 51797, 51808, 51809, 51810, 51811, 51812, 51813, 51814, 51815, 51816, 51817, 51818, 51819, 51820, 51821, 51822, 51823, 57458, 57459, 57460, 57461, 57462, 57463, 57464, 57465, 57466, 57475]",Dembei,Izutsuya Denbei,井筒屋伝兵衛,[6],いづつやでんべい
