play_id,scene_id
86,313
86,612
29,163
29,641
47,287
18,51
7,275
7,276
7,642
72,156
72,158
87,267
83,34
5,640
5,358
5,359
88,286
89,112
89,115
6,18
6,19
70,371
30,188
30,189
30,190
30,191
30,192
30,193
66,79
32,231
32,232
32,233
32,234
72,153
72,154
72,155
72,156
72,157
72,158
68,316
68,492
68,493
68,494
33,394
90,307
90,470
91,280
35,237
27,403
27,404
27,405
27,406
27,407
27,408
27,141
27,142
27,143
27,409
27,144
27,410
27,145
27,146
27,643
27,149
26,128
26,129
26,130
26,131
26,132
26,133
26,402
26,134
26,135
26,136
26,137
26,138
82,101
62,377
62,378
62,379
62,380
62,381
62,382
62,383
62,630
62,629
62,385
62,377
62,378
62,379
62,380
62,381
62,382
62,383
62,630
62,629
62,385
3,361
3,362
3,363
70,371
73,567
73,571
73,572
73,573
73,574
73,565
73,566
109,36
3,361
3,362
3,363
92,320
79,180
79,181
79,182
79,184
79,185
15,11
15,12
32,231
32,232
32,233
32,234
93,56
93,57
93,58
93,59
93,60
93,61
93,65
93,66
93,67
37,247
37,399
37,400
94,229
94,230
94,644
94,645
64,104
64,105
64,106
64,107
80,535
80,336
80,646
80,536
79,172
79,637
79,178
79,179
95,268
95,438
9,372
83,34
19,651
19,648
19,649
19,70
22,80
22,81
22,82
22,83
22,84
61,376
61,620
61,621
61,623
96,322
71,295
71,296
31,226
72,157
72,653
72,652
75,613
83,34
5,640
5,358
5,359
20,72
58,589
97,245
98,391
169,249
99,21
99,22
99,23
99,24
99,25
99,26
99,27
92,320
169,249
24,110
35,237
100,263
72,157
72,158
82,101
82,102
101,366
101,614
65,112
60,617
38,248
38,424
38,425
38,426
38,427
101,366
101,614
7,275
7,276
7,277
29,421
29,159
29,163
29,167
29,168
102,284
103,299
23,103
33,394
73,575
73,567
73,576
73,577
73,578
73,579
73,568
73,569
73,570
73,571
73,572
73,573
73,574
73,580
73,581
73,565
73,566
73,582
57,352
57,353
57,354
39,250
34,236
104,186
104,187
32,234
45,274
45,444
45,447
45,448
105,244
21,75
21,76
21,77
96,322
35,237
63,204
63,205
63,207
63,208
63,209
63,210
63,211
63,212
63,213
63,214
63,215
63,216
63,217
63,218
63,219
63,220
63,222
16,45
16,46
16,47
82,101
49,291
100,263
2,330
2,331
2,532
90,307
90,470
172,249
6,18
6,19
88,286
110,477
110,478
110,479
110,480
110,481
110,482
110,483
110,484
110,485
110,486
109,36
45,444
60,674
33,235
82,101
83,34
62,629
41,259
66,79
77,512
16,45
16,46
16,47
54,329
36,242
111,456
111,457
111,283
112,15
112,16
112,17
83,34
106,338
106,546
41,259
107,74
172,249
95,268
95,438
104,186
104,187
25,117
106,338
106,546
75,613
107,74
18,55
27,147
27,148
59,369
17,48
17,49
17,50
1,309
1,310
1,311
75,518
75,326
75,613
108,203
40,672
40,255
40,256
40,257
40,258
34,236
7,275
7,654
7,276
17,48
17,49
17,50
40,255
40,256
40,677
7,275
7,276
100,263
85,73
113,387
113,632
113,633
73,571
73,565
73,566
32,232
32,233
32,234
23,103
6,19
87,267
114,98
114,99
29,163
109,36
16,39
16,40
16,41
16,42
16,43
16,44
16,45
16,46
16,47
119,301
16,38
16,39
16,40
16,41
16,42
16,43
16,44
16,45
16,46
16,47
115,28
102,284
97,245
29,163
72,154
72,155
6,19
62,629
11,194
11,196
11,197
11,198
11,199
3,361
3,362
3,363
25,117
82,100
82,101
82,102
58,367
58,589
58,590
58,592
58,593
58,594
58,595
90,471
90,472
90,470
93,60
93,61
93,62
93,63
93,64
93,65
93,66
93,67
45,274
45,444
60,617
70,371
30,190
30,192
30,193
80,336
74,298
72,153
72,154
72,155
72,157
72,158
90,307
90,470
116,246
31,226
72,411
72,412
72,153
72,154
72,155
72,413
72,414
72,156
72,157
72,158
72,416
119,301
120,140
80,336
121,264
62,382
108,203
63,220
55,337
55,538
55,539
55,540
55,541
48,288
48,458
82,101
82,102
122,324
122,610
1,309
1,310
1,311
74,298
29,163
83,34
78,118
78,119
78,120
78,121
78,122
78,123
