production_id,seq_chron,label_eng,dates,place,performance_num
1,001,November 1964,1964/11/n.d.-1964/11/n.d.,not recorded,
2,002,February 1968,1968/02/25-1968/03/10,National Theatre of Japan,006
3,003,October 1968,1968/10/27-1968/11/10,National Theatre of Japan,008
4,004,May 1969,1969/05/11-1969/05/25,National Theatre of Japan,010
5,005,September 1969,1969/09/14-1969/09/21,National Theatre of Japan,011
6,006,October 1969,1969/10/26-1969/11/09,National Theatre of Japan,012
7,007,February 1970,1970/02/08-1970/02/22,National Theatre of Japan,013
8,008,April 1970,1970/04/03-1970/04/19,Asahiza,
9,009,May 1970,1070/05/24-1970/06/07,National Theatre of Japan,014
10,010,July 1970,1970/07/07-1970/07/26,Asahiza,
11,011a,August 1970 Tour,1970/08/01-1970/08/05,Others,
12,012,September 1970,1970/09/13-1970/09/20,National Theatre of Japan,015
13,013,October 1970,1970/10/11-1970/10/25,Asahiza,
14,014,November 1970,1970/11/08-1970/11/22,National Theatre of Japan,016
15,015,February 1971,1971/02/07-1971/02/21,National Theatre of Japan,017
16,016,April 1971,1871/04/10-1971/04/25,Asahiza,
17,017,May 1971,1971/05/23-1971/06/06,National Theatre of Japan,018
18,018,July 1971,1971/07/07-1971/07/30,Asahiza,
19,019,September 1971,1971/09/12-1971/09/19,National Theatre of Japan,019
20,021,October 1971,1971/10/10-1971/10/24,Asahiza,
21,022,November 1971,1971/11/14-1971/11/28,National Theatre of Japan,020
22,023,January 1972,1972/01/02-1972/01/21,Asahiza,
23,024,February 1972,1972/02/06-1972/02/20,National Theatre of Japan,021
24,025,April 1972,1972/04/15-1972/04/27,Asahiza,
25,026,May 1972,1972/05/14-1972/05/28,National Theatre of Japan,022
26,027,July 1972,1972/07/16-1972/07/27,Asahiza,
27,028,September 1972,1972/09/10-1972/09/24,National Theatre of Japan,023
29,030,October 1972,1972/10/07-1972/10/22,Asahiza,
30,031,November 1972,1972/11/12-1972/11/19,National Theatre of Japan,024
31,032,January 1973,1973/01/02-1973/01/23,Asahiza,
32,033,February 1973 Tour,1973/02/n.d.-1973/03/n.d.,Others,
33,034,February 1973,1973/02/04-1973/02/18,National Theatre of Japan,025
34,035,April 1973,1973/04/25-1973/05/06,Asahiza,
35,036,May 1973 Asahiza,"1973/05/07,1973/05/28",Asahiza,
36,037,May 1973 National Theatre,1973/05/13-1973/05/27,National Theatre of Japan,026
37,038,July 1973,1973/07/15-1973/07/29,Asahiza,
38,039,September 1973,1973/09/09-1973/09/23,National Theatre of Japan,027
39,040,October 1973,1973/10/07-1973/10/21,Asahiza,
40,041,November 1973,1973/11/11-1973/11/18,National Theatre of Japan,028
41,042,January 1974,1974/01/02-1974/01/22,Asahiza,
42,043,February 1974,1974/02/03-1974/02/17,National Theatre of Japan,029
43,044,April 1974 Asahiza,1974/04/07-1974/04/21,Asahiza,
44,045,April 1974 National Theatre,1974/04/28-1974/05/12,National Theatre of Japan,030
45,046,June 1974,1974/06/n.d.-1974/07/n.d.,Others,
46,047,July 1974,1974/07/17-1974/07/30,Asahiza,
47,048,September 1974,1974/09/14-1974/09/28,National Theatre of Japan,031
48,049,October 1974,1974/10/13-1974/10/27,Asahiza,
49,050,November 1974,1974/11/19-1974/11/27,National Theatre of Japan,032
50,051,January 1975,1975/01/02-1975/01/22,Asahiza,
51,052,February 1975,1975/02/01-1975/02/15,National Theatre of Japan,033
52,053,April 1975,1975/04/18-1975/05/01,Asahiza,
53,054,May 1975,1975/05/10-1975/05/24,National Theatre of Japan,034
54,055,July 1975,1975/07/13-1975/07/27,Asahiza,
55,057,October 1975,1975/10/12-1975/10/26,Asahiza,
56,058,December 1975,1975/12/13-1975/12/21,National Theatre of Japan,036
57,059,January 1976,1976/01/02-1976/01/25,Asahiza,
58,060,March 1976,1976/03/19-1976/03/28,National Theatre of Japan,037
59,061,April 1976,1976/04/15-1976/04/29,Asahiza,
60,063,July 1976,1976/07/09-1976/07/25,Asahiza,
62,064,September 1976 Kōkōsei no tame no Bunraku Kyōshitsu,1976/09/26-1976/10/04,National Theatre of Japan,008
63,065,November 1976,1976/11/12-1976/11/26,Asahiza,
64,066,December 1976,1976/12/04-1976/12/18,National Theatre of Japan,039
65,067,January 1977,1977/01/02-1977/01/23,Asahiza,
66,068,February 1977,1977/02/05-1977/02/19,National Theatre of Japan,040
67,069,April 1977,1977/04/09-1977/04/24,Asahiza,
68,070,May 1977,1977/05/14-1977/05/28,National Theatre of Japan,041
69,071,June 1977,1977/06/02-1977/06/05,Others,
70,072,July 1977 Asahiza,1977/07/09-1977/07/24,Asahiza,
71,074,August 1977 Hokkaido Tour,1977/08/05-1977/08/07,Others,
72,075,August 1977 Tour,1977/08/18-1977/08/29,Others,
73,076,September 1977,1977/09/10-1977/09/24,National Theatre of Japan,042
74,077,October 1977,1977/10/15-1977/10/30,Asahiza,
75,079,December 1977,1977/12/11-1977/12/21,National Theatre of Japan,043
76,081,January 1978,1978/01/02-1978/01/23,Asahiza,
77,082,February 1978,1978/02/11-1978/02/25,National Theatre of Japan,044
78,083,April 1978,1978/04/09-1978/04/25,Asahiza,
79,084,May 1978,1978/05/13-1978/05/27,National Theatre of Japan,045
80,085,June 1978,1978/05/29,National Theatre of Japan,
81,086,July 1978,1978/07/07-1978/07/23,Asahiza,
82,087,August 1978,1978/08/19-1978/09/02,National Theatre of Japan,046
83,088,September 1978,1978/09/30-1978/10/17,Asahiza,
84,089,December 1978,1978/12/09-1978/12/20,National Theatre of Japan,047
85,091,January 1979,1979/01/02-1979/01/23,Asahiza,
86,092,February 1979,1979/02/10-1979/02/24,National Theatre of Japan,048
87,093,April 1979,1979/04/14-1979/04/30,Asahiza,
88,094,May 1979,1979/05/12-1979/05/27,National Theatre of Japan,049
89,095,July 1979,1979/07/07-1979/07/22,Asahiza,
91,097,October 1979,1979/10/13-1979/10/29,Asahiza,
92,098,December 1979,1979/12/08-1979/12/19,National Theatre of Japan,051
94,099,December 1979 Bunraku Kanshō Kyōshitsu,1979/12/10-1979/12/20,National Theatre of Japan,011
95,100,January 1980,1980/01/02-1980/01/23,Asahiza,
96,101,February 1980,1980/02/09-1980/02/24,National Theatre of Japan,052
97,102,April 1980,1980/04/13-1980/04/29,Asahiza,
98,103,May 1980,1980/05/10-1980/05/25,National Theatre of Japan,053
99,104,July 1980,1980/07/05-1980/07/20,Asahiza,
100,105,July 1980 Tour,1980/07/29-1980/08/05,Others,
101,106,September 1980,1980/09/06-1980/09/21,National Theatre of Japan,054
102,107,October 1980,1980/10/10-1980/10/26,Asahiza,
103,109,December 1980 Bunraku Kanshō Kyōshitsu,1980/12/09-1980/12/19,National Theatre of Japan,012
104,111,January 1981,1981/01/02-1981/01/23,Asahiza,
105,112,February 1981,1981/02/14-1981/03/01,National Theatre of Japan,056
106,113,April 1981,1981/04/10-1981/04/26,Asahiza,
107,114,May 1981,1981/05/16-1981/05/31,National Theatre of Japan,057
108,115,July 1981,1981/07/10-1981/07/26,Asahiza,
109,116,September 1981,1981/09/05-1981/09/20,National Theatre of Japan,058
110,117,November 1981,1981/10/11-1981/10/25,Asahiza,
111,118,December 1981,1981/12/08-1981/12/20,National Theatre of Japan,059
112,119,January 1982,1982/01/02-1982/01/24,Asahiza,
113,120,February 1982,1982/02/13-1982/02/28,National Theatre of Japan,060
114,121,March 1982,1982/03/10-1982/03/28,Others,
115,122,April 1982,1982/04/10-1982/04/26,Asahiza,
116,123,May 1982,1982/05/15-1982/05/30,National Theatre of Japan,061
117,124,July 1982,1982/07/09-1982/07/25,Asahiza,
118,125,September 1982,1982/09/04-1982/09/19,National Theatre of Japan,062
119,126,October 1982,1982/10/10-1982/10/25,Asahiza,
120,127,December 1982,1982/12/07-1982/12/19,National Theatre of Japan,063
121,128,January 1983,1983/01/02-1983/01/23,Asahiza,
122,129,February 1983,1983/02/12-1983/02/27,National Theatre of Japan,064
123,130,April 1983,1983/04/09-1983/04/25,Asahiza,
