id,pscene_id,musician_id,kotokokyusub_id,kotokokyu_description,sortorder
1,14,116,0,,1
2,41,114,0,Yagumo,1
3,64,116,0,Koto,1
4,153,32,0,Koto,1
5,157,114,0,Sankyoku,1
6,179,104,0,Sankyoku,1
7,187,114,0,Koto,1
8,191,114,0,Koto,1
9,207,114,0,Kokyu,1
10,221,114,0,Kokyu,1
11,224,114,0,Yagumo,1
12,247,114,0,Koto,1
13,275,32,0,Kokyu,1
14,275,105,,Kokyu,2
15,311,114,0,Sankyoku,1
16,327,67,0,Sankyoku,1
17,328,114,0,Koto,1
18,338,114,0,Koto,1
19,344,10,0,Koto,1
20,377,114,0,"Kokyu, Tsure [Assistant Player]",1
21,388,114,0,Koto,1
22,389,113,0,Kokyu,1
23,500,10,0,Kokyu,1
24,501,69,0,Sankyoku,1
25,521,69,0,Koto,1
26,521,41,,Koto,2
27,530,30,0,Kokyu,1
28,530,113,,Kokyu,2
29,550,69,0,Tsure [Assistant Player] Yagumo,1
30,550,90,,Tsure [Assistant Player] Yagumo,2
31,568,80,0,Koto,1
32,579,41,0,Kokyu,1
33,593,43,0,Kokyu,1
34,601,41,0,"Kokyu, Tsure [Assistant Player]",1
35,602,41,0,"Kokyu, Tsure [Assistant Player]",1
36,632,42,0,Koto,1
37,648,41,0,Koto,1
38,648,102,,Koto,2
39,660,69,0,Koto,1
40,715,69,0,Sankyoku,1
41,796,69,0,Sankyoku,1
42,800,42,0,Koto,1
43,814,41,0,Koto,1
44,822,69,0,Koto,1
45,841,80,0,Kokyu,1
46,845,61,0,Koto,1
47,861,80,0,Kokyu,1
48,910,42,0,Yagumo,1
49,910,80,,Yagumo,2
50,928,42,0,Koto,1
51,932,61,0,Koto,1
52,936,42,0,Koto,1
53,948,42,0,Koto,1
54,955,80,0,Koto,1
55,989,61,0,Koto,1
56,1002,41,0,"Koto, Samisen, and Kokyu",1
57,1039,42,0,Kokyu,1
58,1065,7,0,Kokyu,1
59,1065,42,,Koto,2
60,1083,64,0,Kokyu,1
61,1099,80,0,Kokyu,1
62,1099,42,,Kokyu,2
63,1124,42,0,Koto,1
64,1124,64,,Koto,2
65,1129,64,0,Kokyu,1
