scene_id,scene_code,scene_order,label_ja,label_ja_sort,label_eng,label_ka,play_id,authority_control
1,Akai-01,001,(1),[1] [Akai],Scene One,（一）,162,August 1989 Program
2,Akai-02,002,(2),[2] [Akai],Scene Two,（二）,162,August 1989 Program
3,Akai-03,003,(3),[3]  [Akai],Scene Three,（三） ,162,August 1989 Program
4,Akegarasu-01,004,Yamanaya,Yamanaya [Akegarasu],The Yamanaya Tea House,山名屋,14,"January 1996 Program; Shūzabuō Hironaga, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
5,Asama-01,005,(1),[1] [Asama],Scene One,（一）,160,January 1989 Program
6,Asama-02,006,(2),[2]  [Asama],Scene Two,（二）,160,January 1989 Program
7,Asama-03,007,(3),[3] [Asama],Scene Three,（三） ,160,January 1989 Program
8,Ashiya-01,009,Ōuchi ,Ouchi  [Ashiya],The Imperial Palace,大内,15,August 1984 Program
9,Ashiya-02,010,Kamo yakata,Kamo yakata [Ashiya],The Kamo Residence,加茂館,15,August 1984 Program
10,Ashiya-03,011,Yasuna monogurui,Yasuna monogurui [Ashiya],The Insane Yasuna,保名物狂,15,August 1984 Program
11,Ashiya-04,012,Kuzunoha kowakare,Kuzunoha kowakare [Ashiya],Kuzunoha's Parting with Her Son,葛の葉子別れ,15,August 1984 Program
12,Ashiya-05,013,Rangiku no midare,Rangiku no midare [Ashiya],The Fox-Kuzunoha's Travel,蘭菊の乱れ,15,August 1984 Program
13,Ashiya-06,014,Shinoda no mori ninin yakko,Shinoda no mori ninin yakko [Ashiya],The Two Look-Alike Servants,信田森二人奴,15,August 1984 Program
14,Bakekurabe-01,015,Hakonenosaki bakesumai,Hakonenosaki bakesumai [Bakekurabe],The Haunted House at Hakone,箱根先化住居,126,August 1984 Program
15,Botan-01,016,Kyōsei sumika 1,Kyosei sumika 1 [Botan],The House of Kyosei 1,喬生住家一,112,No English translation available
16,Botan-02,017,Kyōsei sumika 2,Kyosei sumika 2 [Botan],The House of Kyosei 2,喬生住家二,112,No English translation available
17,Botan-03,018,Kyōsei sumika 3: koshinji,Kyosei sumika 3: koshinji [Botan],The House of Kyosei 3,喬生住家三より古心寺朱の丸柱の間,112,No English translation available
18,Chikagoro-01,019,Shijō kawara,Shijo kawara [Chikagoro],The Dry Riverbed of Shijo,四条河原,6,July 1989 Program
19,Chikagoro-02,020,Horikawa sarumawashi,Horikawa sarumawashi [Chikagoro],The Monkey Dance,堀川猿廻し,6,July 1989 Program
20,Chikagoro-03,021,Michiyuki namida no amigasa,Michiyuki namida no amigasa [Chikagoro],The Tearful Journey,道行涙の編笠,6,July 1989 Program
21,Chinsetsu-01,022,Izunokuni Ōshima,Izunokuni Oshima [Chinsetsu],Oshima Island in Izu Province,伊豆国大嶋,99,November 1971 Program
22,Chinsetsu-02,023,Sanukinokuni Shiramine,Sanukinokuni Shiramine [Chinsetsu],Shiramine in Sanuki Province,讃岐国白峯,99,November 1971 Program
23,Chinsetsu-03,024,Higonokuni Kiharasan sansai,Higonokuni Kiharasan sansai [Chinsetsu],Mt. Kihara in Higo Province,肥後国木原山山塞,99,November 1971 Program
24,Chinsetsu-04,025,Satsunan kaisho,Satsunan kaisho [Chinsetsu],The Sea off Satsuma,薩南海上,99,November 1971 Program
25,Chinsetsu-05,026,Ryūkyūkoku Kitadani saijō,Ryukyukoku Kitadani saijo [Chinsetsu],Kitadani Ceremonial Site in Ryukyu,琉球国北谷斎場,99,November 1971 Program
26,Chinsetsu-06,027,Kitadani myōtoyado,Kitadani myotoyado [Chinsetsu],The Inn at Kitadani,北谷夫婦宿,99,November 1971 Program
27,Chinsetsu-07,028,Unten kaihin yomiya,Unten kaihin yomiya [Chinsetsu],The Unten Beach,運天海浜宵宮,99,November 1971 Program
28,Cho-01,029,Chō no michiyuki,Cho no michiyuki [Cho],The Travelling Butterflies,蝶の道行,115,April 1974 Program
29,Daikyoji-01,030,Daikyōji uchi,Daikyoji uchi [Daikyoji],The Almanac Maker's,大経師内,76,February 1983 Program
30,Daikyoji-02,031,Okazakimura Bairyū uchi,Okazakimura Bairyu uchi [Daikyoji],Bairyu's House at Okazaki,岡崎村梅龍内,76,February 1983 Program
31,Daikyoji-03,032,Okutamba kakurega,Okutamba kakurega [Daikyoji],The Hideout in Tamba Province,奥丹波隠れ家,76,February 1983 Program
32,Danbatake-01,033,Danbatake,Danbatake [Danbatake],The Vegetable Farm,段ばたけ,145,July 1985 Program
33,Dangouri-01,034,Dangouri,Dangouri [Dangouri],The Dumpling Peddlers,団子売,138,September 1980 Program
34,Dannoura-01,035,Akoya kotozeme,Akoya kotozeme [Dannoura],The Torture by Koto,阿古屋琴責,83,April 1985 Program
35,Datemusume-01,036,Yaoya uchi,Yaoya uchi [Datemusume],The Greengrocer's,八百屋内,109,January 1986 Program
36,Datemusume-02,037,Hinomiyagura,Hinomiyagura [Datemusume],The Fire Lookout Tower,火の見櫓,109,January 1986 Program
37,Dojoji-01,038,Hidakagawa watashiba,Hidakagawa watashiba [Dojoji],The Hidaka River Ferry,日高川渡し場,147,November 1985 Program
38,Ehon-01,039,Azuchi jōchu,Azuchi jochu [Ehon],Azuchi Castle,安土城中,16,April 1993 Program
