pscene_id,play_id,production_id,performance_id,scene_id,spuck_note,tayu_shamisen_note
1,86,1,2,313,No performer information available.,No performer information available.
2,86,1,2,612,No performer information available.,No performer information available.
3,29,1,3,163,No performer information available.,No performer information available.
4,29,1,3,641,No performer information available.,No performer information available.
5,47,1,4,287,No performer information available.,No performer information available.
6,18,1,5,51,No performer information available.,No performer information available.
7,7,1,6,275,No performer information available.,No performer information available.
8,7,1,6,276,No performer information available.,No performer information available.
9,7,1,6,642,No performer information available.,No performer information available.
10,72,1,7,156,No performer information available.,No performer information available.
11,72,1,7,158,No performer information available.,No performer information available.
12,87,1,8,267,No performer information available.,No performer information available.
14,83,2,12,34,"
","
"
15,5,2,13,640,"
","
"
16,5,2,13,358,"
","
"
17,5,2,13,359,"
","
"
18,88,2,14,286,"
","
"
19,89,2,15,112,"
","
"
20,89,2,15,115,"
","
"
21,6,2,16,18,"
","
"
22,6,2,16,19,"
","
"
23,70,2,17,371,"
","
"
24,30,3,9,188,Characters not appearing in this scene are omitted from the list on the program.,"
"
25,30,3,9,189,Characters not appearing in this scene are omitted from the list on the program.,"
"
26,30,3,9,190,Characters not appearing in this scene are omitted from the list on the program.,"
"
27,30,3,9,191,Characters not appearing in this scene are omitted from the list on the program.,"
"
28,30,3,9,192,Characters not appearing in this scene are omitted from the list on the program.,"
"
29,30,3,9,193,Characters not appearing in this scene are omitted from the list on the program.,"
"
30,66,3,10,79,"
","
"
31,32,3,11,231,"
","
"
32,32,3,11,232,"
","
"
33,32,3,11,233,"
","
"
34,32,3,11,234,"
","
"
35,72,4,18,153,"
","
"
36,72,4,18,154,"
","
"
37,72,4,18,155,"
","
"
38,72,4,18,156,"
","
"
39,72,4,18,157,"
","
"
40,72,4,18,158,"
","
"
41,68,4,19,316,"
","
"
42,68,4,19,492,"
","
"
43,68,4,19,493,"
","
"
44,68,4,19,494,"
","
"
45,33,4,20,394,"
","
"
46,90,5,21,307,"
","
"
47,90,5,21,470,"
","
"
48,91,5,22,280,"
","
"
49,35,5,23,237,"
","
"
50,27,6,24,403,"
","
"
51,27,6,24,404,"
","
"
52,27,6,24,405,"
","
"
53,27,6,24,406,"
","
"
54,27,6,24,407,"
","
"
55,27,6,24,408,"
","
"
56,27,6,24,141,"
","
"
57,27,6,24,142,"
","
"
58,27,6,24,143,"
","
"
59,27,6,24,409,"
","
"
60,27,6,24,144,"
","
"
61,27,6,24,410,"
","
"
62,27,6,24,145,"
","
"
63,27,6,24,146,"
","
"
64,27,6,24,643,"
","
"
65,27,6,24,149,"
","
"
66,26,7,25,128,"
","
"
67,26,7,25,129,"
","
"
68,26,7,25,130,"
","
"
69,26,7,25,131,"
","
"
70,26,7,25,132,"
","
"
71,26,7,25,133,"
","
"
72,26,7,25,402,"
","
"
73,26,7,25,134,"
","
"
74,26,7,25,135,"
","
"
75,26,7,25,136,"
","
"
76,26,7,25,137,"
","
"
77,26,7,25,138,"
","
"
78,82,7,26,101,"
","
"
79,62,8,27,377,"
","
"
80,62,8,27,378,"
","
"
81,62,8,27,379,"
","
"
82,62,8,27,380,"
","
"
83,62,8,27,381,"
","
"
84,62,8,27,382,"
","
"
85,62,8,27,383,"
","
"
86,62,8,27,630,"
","
"
87,62,8,27,629,"
","
"
88,62,8,27,385,"
","
"
89,62,9,28,377,"
","
"
90,62,9,28,378,"
","
"
91,62,9,28,379,"
","
"
92,62,9,28,380,"
","
"
93,62,9,28,381,"
","
"
94,62,9,28,382,"
","
"
95,62,9,28,383,"
","
"
96,62,9,28,630,"
","
"
97,62,9,28,629,"
","
"
98,62,9,28,385,"
","
"
