id,pscene_id,shamisen_id,shamisensub_id,shamisen_description,sortorder
1,14,104,0,,1
2,14,67,0,,2
3,15,65,0,,1
4,15,110,0,,2
5,16,40,0,,1
6,16,105,0,,2
7,16,32,0,,3
8,17,93,0,,1
9,18,3,0,,1
10,18,134,0,,2
11,18,32,0,,3
12,18,116,0,,4
13,19,119,0,,1
14,19,46,0,,2
15,20,67,0,,1
16,20,114,0,,2
17,21,8,0,,1
18,22,112,0,,1
19,22,65,0,Tsure [assistant player],2
20,23,84,0,,1
21,23,40,0,,2
22,23,105,0,,3
23,23,32,0,,4
24,24,64,0,,1
25,25,65,0,,1
26,25,104,0,,2
27,26,110,0,,1
28,27,8,0,,1
29,28,93,0,,1
30,29,40,0,,1
31,30,32,0,,1
32,30,112,0,,2
33,31,116,0,,1
34,31,3,0,,2
35,32,119,0,,1
36,33,46,0,,1
37,35,84,0,,1
38,36,65,0,,1
39,37,110,0,,1
40,38,46,0,,1
41,39,3,0,,1
42,40,112,0,,1
43,41,40,0,,1
44,41,105,0,Tsure [assistant player],2
45,42,104,0,,1
46,42,67,0,,2
47,42,105,0,,3
48,42,32,0,,4
49,42,114,0,,5
50,43,134,0,,1
51,44,93,0,,1
52,34,134,0,,1
53,34,67,0,,2
54,34,105,0,,3
55,34,32,0,,4
56,45,32,0,Part 1,1
57,45,119,0,Part 2,2
58,45,8,0,Part 3,3
59,46,114,0,,1
60,47,65,0,,1
61,47,104,0,,2
62,48,110,0,,1
63,48,32,0,,2
64,48,105,0,,3
65,48,116,0,,4
66,48,65,67,,5
67,49,105,0,,1
68,49,67,0,,2
69,50,65,0,,1
70,51,8,0,,1
71,52,32,0,,1
72,52,40,0,,2
73,53,64,0,,1
74,53,134,0,,2
75,54,104,0,,1
76,55,110,0,,1
77,55,112,0,,2
78,56,116,0,,1
79,57,3,0,,1
80,58,65,0,,1
81,59,46,0,,1
82,60,119,0,,1
83,60,84,0,,2
84,60,67,0,,3
85,60,105,0,,4
86,61,67,0,,1
87,62,134,0,,1
88,63,40,0,,1
89,64,93,0,,1
90,64,8,0,Tsure [assistant player],2
91,64,116,0,,3
92,65,32,0,,1
93,66,67,0,,1
94,67,40,0,,1
95,68,3,0,,1
96,69,84,0,,1
97,69,114,0,,2
98,70,119,0,,1
99,71,134,0,,1
100,72,112,0,,1
101,73,105,0,,1
102,74,8,0,,1
103,75,110,0,,1
104,76,104,0,,1
105,76,105,0,Tsure [assistant player],2
106,77,93,0,,1
107,77,32,0,,2
108,78,65,0,Part 1,1
109,78,46,0,Part 2,2
110,79,3,0,,1
111,80,119,0,,1
112,81,104,0,,1
113,82,46,0,,1
114,83,84,0,,1
