id,pscene_id,narrator_id,tayusub_id,tayu_description,sortorder
1,2,0,0,,1
2,3,0,0,,1
3,4,0,0,,1
4,5,0,0,,1
5,7,0,0,,1
6,8,0,0,,1
7,9,0,0,,1
8,10,0,0,,1
9,11,0,0,,1
10,12,0,0,,1
11,14,127,0,Akoya,1
12,14,6,0,Shigetada,2
13,14,129,0,Iwanaga,3
14,14,5,0,Hanzawa,4
15,15,9,0,,1
16,15,121,0,,2
17,16,34,0,,1
18,17,31,0,,1
19,18,133,0,Fukunoichi,1
20,18,29,0,Tokunoichi,2
21,18,5,0,Tamanoichi,3
22,18,128,0,Narrative,4
23,19,33,0,,1
24,19,53,0,,2
25,20,34,0,,1
26,21,66,0,,1
27,22,2,0,,1
28,23,117,0,Ugly woman,1
29,23,1,0,Tarokaja,2
30,23,63,0,Warlord,3
31,23,128,0,Beautiful woman,4
32,24,129,0,,1
33,25,29,0,,1
34,25,127,0,,2
35,26,121,0,Iwafuji,1
36,26,9,0,Onoe,2
37,26,66,0,Zenroku,3
38,26,68,0,Maid Servant,4
39,26,54,0,Maid Servant,5
40,27,66,0,,1
41,28,31,0,,1
42,29,34,0,,1
43,30,1,0,,1
44,30,2,0,,2
45,31,5,0,,1
46,31,6,0,,2
47,32,33,0,,1
48,33,123,0,,1
49,35,129,0,Kojiro,1
50,35,5,0,Hirayama,2
51,35,54,0,Kumagai,3
52,35,55,0,Soldier,4
53,36,68,0,,1
54,37,6,0,,1
55,38,123,0,,1
56,39,34,0,,1
57,40,2,0,,1
58,41,29,0,,1
59,42,66,0,,1
60,42,9,0,,2
61,42,63,0,,3
62,42,5,0,,4
63,42,55,0,,5
64,43,1,0,,1
65,44,31,0,,1
66,34,68,0,,1
67,34,63,0,,2
68,34,54,0,,3
69,34,55,0,,4
70,34,9,0,,5
71,45,54,0,Part 1,1
72,45,33,0,Part 2,2
73,45,66,0,Part 3,3
74,46,1,0,,1
75,47,6,0,,1
76,47,34,0,,2
77,48,9,29,Shizuka-Gozen,1
78,48,63,129,Sato Tadanobu,2
79,48,5,0,,3
80,48,55,0,,4
81,48,54,0,,5
82,49,68,0,Part 1,1
83,49,66,0,Part 2,2
84,50,55,0,Part 1,1
85,50,54,0,Part 2,2
86,50,5,0,Part 3,3
87,51,63,0,,1
88,52,54,0,Part 1,1
89,52,1,0,Part 2,2
90,53,5,0,Part 1,1
91,53,6,0,Part 2,2
92,54,34,0,,1
93,55,66,0,Part 1,1
94,55,2,0,Part 2,2
95,56,55,0,,1
96,57,29,0,,1
97,58,1,0,,1
98,59,123,0,,1
99,60,33,0,,1
100,60,29,0,,2
101,60,9,0,,3
102,60,129,0,,4
103,61,9,0,,1
104,62,68,0,,1
105,63,129,0,,1
106,64,31,0,,1
107,64,55,0,,2
108,65,68,0,,1
109,66,68,0,Yoshitsune Minamoto,1
110,66,5,0,Heiji Kajiwara,2
111,66,54,0,Takatsuna Sasaki,3
112,66,55,0,Shigetada Hatakeyama,4
113,67,29,0,,1
114,68,63,9,,1
115,69,6,0,,1
116,70,33,0,,1
117,71,9,63,,1
118,72,2,0,,1
119,73,54,55,,1
120,74,1,0,,1
121,75,34,0,,1
122,76,66,0,,1
123,77,31,0,,1
124,78,129,0,Part 1,1
125,78,53,0,Part 2,2
126,79,68,0,,1
127,80,33,0,,1
128,81,6,0,,1
129,82,53,0,,1
130,83,63,0,,1
131,84,66,0,,1
132,84,34,0,,2
133,85,1,0,,1
134,86,129,0,,1
135,86,9,0,,2
136,86,2,0,,3
137,87,31,0,Shizuka-Gozen,1
138,87,2,0,"Tadanobu Sato, in fact Fox Tadanobu",2
139,87,66,0,,3
140,87,34,0,,4
141,87,55,0,,5
142,88,29,0,Part 1,1
143,88,31,0,Part 2,2
144,88,5,0,Part 3: Heike general Noritsune,3
145,88,54,0,Part 3: Yoshitsune Minamoto,4
146,89,68,0,,1
147,90,33,0,,1
148,91,6,0,,1
149,92,129,0,Part 1,1
150,92,53,0,Part 2,2
151,93,63,0,,1
152,94,66,0,Part 1,1
153,94,34,0,Part 2,2
154,95,1,0,,1
155,96,129,0,Part 1,1
156,96,9,0,Part 2,2
157,96,2,0,Part 3,3
158,97,31,0,Shizuka-Gozen,1
159,97,2,0,Tadanobu Sato in fact Fox Tadanobu,2
160,97,66,0,,3
161,97,34,0,,4
162,97,55,0,,5
163,98,29,0,Part 1,1
164,98,31,0,Part 2,2
165,98,5,0,Part 3: Heike general Noritsune,3
166,98,54,0,Part 3: Yoshitsune Minamoto,4
167,99,34,1,,1
168,100,6,33,,1
169,101,29,68,Ohatsu,1
170,101,9,63,Tokubei,2
171,101,54,55,Tsure [narrative],3
172,102,123,2,Tarokaja,1
173,102,129,5,Warlord,2
174,102,29,68,Beautiful woman,3
175,102,31,66,Ugly woman,4
176,103,68,0,,1
177,104,9,0,Matsuomaru,1
178,104,63,0,Umeomaru,2
179,104,54,0,Sakuramaru,3
180,104,55,0,Sugiomaru,4
181,104,129,0,"Jihei, Minister of the Left",5
182,105,1,0,,1
183,106,29,0,,1
184,107,66,0,,1
185,108,5,0,,1
186,109,34,0,Part 1,1
187,109,6,0,Part 2,2
188,114,1,0,,1
189,114,2,0,,2
190,115,129,0,,1
191,116,123,0,,1
192,117,33,0,Omiwa,1
193,117,9,0,"Motome, actually Tankai Fujiwara",2
194,117,68,0,Tachibana,3
195,117,55,0,Tsure [narrative/assistant narrator],4
196,117,35,0,Tsure [narrative/assistant narrator],5
197,118,63,0,,1
198,119,66,0,,1
199,120,29,0,,1
200,120,31,0,,2
201,121,63,0,,1
202,121,5,0,,2
203,121,54,0,,3
204,122,129,0,,1
205,122,5,0,,2
206,122,1,0,,3
207,123,9,0,,1
208,124,34,0,,1
209,124,6,0,,2
210,125,68,0,Ohan,1
211,125,29,0,Choemon,2
212,125,54,0,Tsure [narrative/assistant narrator],3
213,125,55,0,Tsure [narrative/assistant narrator],4
214,126,35,0,,1
215,126,55,0,,2
216,126,54,0,,3
217,126,5,0,,4
218,127,9,0,,1
219,128,68,0,Part 1,1
220,128,34,0,Part 2,2
221,129,5,0,,1
222,130,63,0,"Sanemori, a Heike general",1
223,130,68,0,"Koman, Kurosuke's daughter",2
224,130,54,0,"Saemon, a Heike general",3
225,130,55,0,"Chuta, a Heike warrior",4
226,130,129,0,"Munemori, son of Shigemori",5
227,131,129,0,Part 1,1
228,131,123,0,Part 2,2
229,131,31,0,Part 3,3
230,132,6,0,,1
231,133,2,0,,1
232,134,1,0,,1
233,135,29,0,,1
234,136,63,0,Part 1,1
235,136,66,0,Part 2,2
236,137,33,0,,1
237,110,9,0,,1
238,110,29,0,,2
239,111,63,0,,1
240,112,31,0,,1
241,113,29,0,Ohatsu,1
242,113,9,0,Tokubei,2
243,113,54,0,Tsure [narrative],3
244,138,5,0,Part 1,1
245,138,33,0,Part 2,2
246,139,63,0,Part 1,1
247,139,6,0,Part 2,2
248,140,129,0,,1
249,141,2,0,Part 1,1
250,141,29,0,Part 2,2
251,142,63,0,,1
252,142,129,0,,2
253,142,54,0,,3
254,142,55,0,,4
255,142,35,0,,5
256,143,63,0,,1
257,143,129,0,,2
258,143,54,0,,3
259,143,55,0,,4
260,143,35,0,,5
261,144,63,0,,1
262,144,129,0,,2
263,144,54,0,,3
264,144,55,0,,4
265,144,35,0,,5
266,145,63,0,,1
267,145,129,0,,2
268,145,54,0,,3
