kashira_id,visual_id
33,8281
3,8281
35,8281
106,8281
77,8281
33,8282
3,8282
35,8282
106,8282
77,8282
33,8283
3,8283
35,8283
106,8283
77,8283
3,8284
35,8284
33,8284
77,8284
33,8285
35,8285
77,8285
106,8286
3,8287
35,8287
33,8287
77,8287
33,8288
33,8289
3,8289
35,8289
106,8289
77,8289
33,8290
3,8291
3,8292
3,8293
33,8293
3,8294
33,8294
35,8296
3,8296
33,8297
106,8298
35,8298
33,8299
103,8300
6,8300
111,8300
103,8301
6,8301
111,8302
103,8303
103,8304
6,8304
35,8305
103,8305
6,8305
103,8306
111,8306
35,8306
6,8306
35,8307
35,8308
103,8308
103,8309
35,8310
103,8310
103,8311
35,8311
103,8312
103,8313
35,8313
103,8314
111,8314
35,8315
103,8315
35,8316
35,8317
103,8318
103,8319
103,8320
103,8321
103,8322
103,8324
111,8324
35,8324
103,8325
35,8325
6,8325
103,8326
35,8326
6,8326
103,8327
111,8327
35,8327
6,8327
35,8328
103,8328
35,8329
103,8329
6,8329
35,8330
103,8330
103,8331
35,8332
103,8333
103,8334
35,8335
103,8335
35,8336
103,8336
45,8340
111,8340
6,8340
103,8340
45,8341
79,8342
6,8344
79,8345
79,8346
79,8347
45,8347
6,8348
103,8348
6,8349
103,8349
87,8350
87,8351
6,8352
103,8352
87,8353
45,8353
87,8354
103,8355
103,8356
87,8357
103,8357
87,8358
103,8358
79,8359
87,8359
79,8360
87,8360
79,8361
87,8361
45,8362
87,8362
77,8362
87,8363
45,8364
45,8365
111,8365
6,8365
103,8365
111,8366
6,8366
45,8367
111,8367
6,8367
103,8367
79,8368
87,8368
77,8368
79,8369
79,8370
79,8371
79,8372
79,8373
103,8379
111,8379
103,8380
111,8380
111,8381
6,8381
66,8382
103,8382
6,8382
45,8382
66,8383
103,8383
6,8383
45,8383
111,8384
103,8384
6,8384
103,8385
111,8386
6,8386
111,8387
6,8387
111,8388
6,8388
111,8389
111,8390
111,8391
6,8391
6,8392
103,8392
6,8393
103,8393
103,8394
6,8394
103,8395
111,8396
111,8397
103,8398
111,8399
6,8399
103,8399
111,8400
6,8400
103,8400
111,8401
6,8401
103,8401
111,8402
6,8402
111,8403
111,8404
6,8404
103,8405
103,8406
111,8407
6,8407
103,8407
103,8408
111,8408
6,8408
45,8409
111,8410
6,8410
103,8410
45,8411
6,8411
111,8411
103,8411
45,8412
6,8412
111,8412
103,8412
111,8413
6,8413
103,8413
111,8414
103,8414
45,8415
6,8415
45,8416
6,8416
45,8417
6,8417
111,8418
6,8418
103,8418
111,8419
6,8419
111,8420
103,8420
45,8421
111,8421
6,8421
103,8421
103,8422
111,8422
45,8423
103,8423
111,8423
6,8423
45,8424
103,8424
111,8424
6,8424
45,8425
103,8425
111,8425
6,8425
103,8426
111,8426
6,8426
103,8427
111,8427
6,8427
111,8428
6,8428
111,8429
6,8429
103,8429
111,8430
6,8430
103,8430
111,8431
6,8431
103,8431
111,8432
6,8432
103,8432
111,8433
6,8433
103,8433
45,8434
103,8434
111,8434
6,8434
111,8435
103,8435
103,8436
103,8438
111,8438
111,8439
6,8439
111,8440
6,8440
111,8441
6,8441
103,8441
111,8442
6,8442
103,8442
111,8443
6,8443
103,8443
103,8444
66,8444
66,8445
103,8445
6,8445
66,8446
103,8446
6,8446
94,8446
66,8447
103,8447
6,8447
94,8447
66,8448
6,8448
103,8448
111,8449
103,8449
66,8450
6,8450
103,8450
111,8450
45,8450
6,8451
103,8451
66,8451
77,8451
66,8452
6,8452
103,8452
111,8452
45,8452
66,8453
6,8453
103,8453
111,8453
45,8453
111,8454
103,8454
6,8454
66,8455
6,8455
103,8455
111,8456
6,8456
103,8456
103,8457
111,8457
6,8458
6,8459
6,8460
6,8461
111,8463
103,8463
66,8464
6,8464
103,8464
111,8464
45,8464
87,8465
111,8466
103,8466
6,8466
111,8467
6,8467
103,8468
6,8468
87,8471
87,8472
87,8473
103,8473
87,8474
103,8474
87,8475
103,8475
87,8476
103,8476
103,8477
6,8477
111,8478
82,8478
111,8479
82,8479
111,8480
82,8480
103,8481
111,8482
103,8483
103,8484
111,8484
103,8485
111,8486
111,8487
111,8488
111,8489
103,8489
111,8490
103,8490
111,8491
103,8491
111,8492
103,8492
111,8493
103,8493
111,8494
103,8494
111,8495
111,8496
111,8497
111,8498
111,8499
103,8499
111,8500
111,8501
111,8502
111,8503
111,8504
111,8505
111,8506
111,8507
111,8508
111,8509
111,8510
111,8511
111,8512
111,8513
111,8514
111,8515
111,8516
111,8517
111,8518
111,8519
77,8520
103,8521
6,8521
77,8522
77,8523
106,8523
66,8524
66,8525
103,8526
6,8526
106,8527
106,8528
106,8529
106,8530
106,8531
66,8532
103,8533
66,8533
106,8533
111,8533
103,8534
66,8534
106,8534
111,8534
103,8535
6,8535
106,8535
66,8535
106,8536
103,8537
103,8538
103,8539
103,8540
103,8541
66,8541
111,8541
103,8542
111,8542
66,8542
111,8543
111,8544
111,8545
66,8545
111,8546
66,8547
66,8548
111,8549
111,8550
111,8551
111,8552
111,8553
103,8554
103,8555
103,8556
66,8557
66,8558
66,8559
111,8559
106,8560
106,8561
106,8562
66,8563
103,8563
66,8564
103,8564
66,8565
103,8565
66,8566
103,8566
66,8567
103,8567
103,8568
66,8568
106,8568
66,8569
66,8570
66,8571
106,8571
103,8572
66,8572
106,8572
106,8573
106,8574
106,8575
106,8576
106,8577
106,8578
106,8579
106,8580
106,8581
111,8582
111,8583
111,8584
106,8585
6,8585
106,8586
6,8586
106,8587
6,8587
87,8590
87,8593
106,8593
87,8594
106,8594
87,8595
106,8595
87,8596
106,8596
87,8597
106,8597
87,8599
87,8600
106,8601
87,8601
106,8602
87,8602
87,8603
106,8603
106,8604
106,8605
87,8606
