kashira_id,label,label_ka,category,image_id,sort_ja
1,Amanjaku,あまんじゃく,Special,[nan],あまんじゃく
2,Ebisu,恵比須,Special,[nan],えびす
3,Ōshūto,大舅,Male,"[8281, 8282, 8283, 8284, 8287, 8289, 8291, 8292, 8293, 8294, 8296, 9210, 9211, 9212, 9781, 9782, 9783, 9784, 9785, 9786, 9787, 9788, 9789, 9790, 9791, 11442, 11443, 11449, 12109, 12111, 12113, 12116, 12117, 12133, 12134, 12135, 12136, 12137, 12138, 12139, 12140, 12141, 12143, 12144, 12152, 12381, 12730, 12733, 12734, 12735, 12813, 12814, 12815, 12816, 12817, 12818, 12821, 12822, 12823, 12825, 12826, 12827, 12828, 12829, 12830, 12831, 12832, 12833, 12834, 12835, 12837, 12842, 12954, 12955, 12956, 12958, 12961, 44999, 45000, 45282, 45312, 45563, 45722, 45726, 45729, 45787, 45789, 45791, 46094, 46095, 46165, 46166, 46473, 46567, 46577, 47646, 47648, 47671, 47831, 47832, ...]",おおしゅうと
4,Ōdanshichi,大団七,Male,"[8667, 8669, 8670, 8671, 8672, 8676, 8687, 8688, 8689, 8690, 8691, 8692, 8693, 8695, 8696, 8697, 8698, 8699, 8700, 8701, 8702, 8703, 8704, 8706, 8708, 8712, 9246, 9247, 9262, 9263, 9264, 9310, 9311, 9312, 9313, 9321, 9324, 9325, 9326, 9327, 9328, 9329, 9330, 9331, 9332, 9333, 9334, 9338, 9339, 9340, 9341, 9342, 9343, 9344, 9345, 9346, 9347, 9348, 10005, 10006, 10007, 10008, 10011, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021, 10023, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10037, 10038, 10039, 10041, 10042, 10045, 10047, 10050, 10051, 10052, 10053, 10054, 10055, 10056, 10057, 10058, 10059, 10061, 10062, 10063, ...]",おおだんしち
5,Ochō no kodomo,お蝶の子供,Children,[nan],おちょうのこども
6,Otoko koyaku,男子役,Children,"[8300, 8301, 8304, 8305, 8306, 8325, 8326, 8327, 8329, 8340, 8344, 8348, 8349, 8352, 8365, 8366, 8367, 8381, 8382, 8383, 8384, 8386, 8387, 8388, 8391, 8392, 8393, 8394, 8399, 8400, 8401, 8402, 8404, 8407, 8408, 8410, 8411, 8412, 8413, 8415, 8416, 8417, 8418, 8419, 8421, 8423, 8424, 8425, 8426, 8427, 8428, 8429, 8430, 8431, 8432, 8433, 8434, 8439, 8440, 8441, 8442, 8443, 8445, 8446, 8447, 8448, 8450, 8451, 8452, 8453, 8454, 8455, 8456, 8458, 8459, 8460, 8461, 8464, 8466, 8467, 8468, 8477, 8521, 8526, 8535, 8585, 8586, 8587, 8660, 8661, 8662, 8663, 10177, 10178, 10178, 10179, 10180, 10181, 10182, 10183, ...]",おとここやく
7,Otoko (sewa),男（世話）,Male,[nan],おとこ（せわ）
8,Otoko chū koyaku,男中子役,Children,"[52522, 52525, 52527, 55514, 55517, 55523, 55525, 55534, 55535, 55536, 55537, 55538, 55540, 55541, 55570, 55573, 55574, 55575, 55581, 55786, 55790, 55791]",おとこちゅうこやく
9,Otoko tsume,男つめ,Male,"[11417, 11418, 11436, 46559, 46561, 51080, 51081, 51082, 51083, 51084, 51500]",おとこつめ
10,Oni,鬼,Special,[nan],おに
