author_id,label,label_ka,dates,reference,sort_ja
1,Asada Icchō,浅田一鳥,fl. 1741-1767,LC Authorities,あさだいっちょう
2,Ashikawa Teruha,芦川照葉,"",LC Authorities,あしかわてるは
4,Chikamatsu Hanji,近松半二,d. 1786 or 7,LC Authorities,ちかまつはんじ
5,Chikamatsu Kosuiken,近松湖水軒,"","繪本太功記 / 近松やなぎ, 近松湖水軒, 千葉軒合作, 東京 : 金櫻堂, 1890.12, from NACSIS record",ちかまつこすいけん
6,Chikamatsu Monzaemon,近松門左衛門,"",LC Authorities,ちかまつもんざえもん
7,Chikamatsu Sen'yōken,近松千葉軒,"","繪本太功記 / 近松やなぎ, 近松湖水軒, 千葉軒合作, 東京 : 金櫻堂, 1890.12, from NACSIS record",ちかまつせんようけん
8,Chikamatsu Yasuzō,近松保蔵,"","",ちかまつやすぞう
9,Fukuda Kakei,"","","",ふくだかけい
10,Hasegawa Senshi,長谷川千四,1689-1733,"LC Authorities; 壇浦兜軍記 / 文耕堂, 長谷川千四著; [出版地不明] : [出版者不明], [出版年不明] from NACSIS record",はせがわせんし
11,Hōjō Hideji,"","","",ほうじょうひでじ
12,Ki Kaion,紀海音,1663-1742,LC Authorities,きかいおん
13,Kino Jōtarō,紀上太郎,"","碁太平記白石噺 : 一幕 / 紀上太郎, 烏亭焉馬, 容楊黛作, [東京] : 国立劇場, 1995.3 from a NACSIS record",きのじょうたろう
14,Kinoshita Junji,木下順二,"","",きのしたじゅんじ
15,Kyokutei Bakin,"","","",きょくていばきん
16,Matsuda Baku,松田ばく,"","妹脊山婦女庭訓 : 十三鐘絹懸柳 / 近松半二 [ほか] 作 ; 三好松洛後見, 東京 : 金櫻堂, 1891.5 from NACSIS record",まつだばく
17,Matsuda Bunkōdō,文耕堂,fl. 1713-1741,"LC Authorities; 壇浦兜軍記 / 文耕堂, 長谷川千四著; [出版地不明] : [出版者不明], [出版年不明] from NACSIS record",まつだぶんこうどう
18,Mishima Yukio,三島由紀夫,1925-1970,LC Authorities,みしまゆきお
19,Miyoshi Shōraku,三好松洛,1696?-1772?,"夏祭浪花鑑 / 並木千柳, 三好松洛, 竹田小出雲作, 浪華 : 山本九菓亭, [江戸中期] [刊] from NACSIS record; LC Authorities",みよししょうらく
20,Nakamura Akei,中邑阿契,fl. 1747-1781,LC Authorities,なかむらあけい
21,Nakawa Kamesuke,"","","",なかわかめすけ
22,Nakawa Shimesuke,奈河七五三助,"","近頃河原達引. 堀川猿廻しの段 / [為川宗輔, 筒井半二, 奈河七五三助, 作] (Tokyo : Victor, p2002) from NACSIS record",なかわしめすけ
23,Nanba Shōzō,"","","",なんばしょうぞう
24,Namiki Geiji,並木鯨児,"","",なみきげいじ
25,Namiki Senryū (See also Namiki Namiki Sōsuke),並木千柳,1695-1751,"夏祭浪花鑑 / 並木千柳, 三好松洛, 竹田小出雲作, 浪華 : 山本九菓亭, [江戸中期] [刊] from NACSIS record; LC Authorities; 菅原傳授 / 竹田出雲, 並木千柳, 三好松洛, 竹田小出雲 [著], 寺町(京都) : 菊屋七良兵衛, [1---] from a NACSIS record",なみきせんりゅう
26,Namiki Shōzō,並木正三,1730-1773,LC,なみきしょうぞう
27,Namiki Sōsuke (See also Namiki Senryū),並木宗輔,1695-1751,"苅萱桑門筑紫 / 並木宗輔作, 浪華 : 紙屋與右衛門[ほか], 享保20[1735]刊 from NACSIS record",なみきそうすけ
28,Namiki Jōsuke,並木丈輔,"","Hironaga, Shūzabuō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976);  Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, September 1983 under Karukaya Doshin",なみきじょうすけ
29,Namioka Geiji,浪岡鯨児,"","",なみきげいじ
30,Nozawa Katsuhei,野澤勝平,"","",のざわかつへい
31,Nozawa Matsunosuke,野澤松之輔,"",December 1993 Men Uri,のざわまつのすけ
32,Senzenken,"","","",せんぜんけん
33,Shiba Shisō,司馬芝叟,b. 1760?,"",しばしそう
34,Suga Sensuke,菅専助,1728-1779,LC Authorities,すがせんすけ
36,"Takeda Izumo, I",竹田出雲,d. 1747,LC Authorities,たけだいずも
37,Takeda Hanshichi,"","","",たけだはんしち
38,Takeda Inaba,竹田因幡,"","",たけだいなば
39,Takeda Koide,竹田小出,"","",たけだこいで
40,Takeda Koizumo,竹田小出雲,"","日高川入相花王 / 竹田小出雲 [ほか] 作; 大坂 : 紙屋與右衛門 from NACSIS record",たけだこいずも
41,Takemoto Saburobei,竹本三郎兵衛,"","",ためもとさぶろべい
42,Tanaka Chikao,田中千禾夫,1905-,LC,たなかちかお
43,Toyotake Jinroku,豊竹甚六,"","",とよたけじんろく
44,Toyotake Ōritsu,豊竹応律,"","",とよたけおうりつ
45,Tsutsui Hanko,"","","",つついはんこ
46,Uchimura Naoya,内村直也,"",女の平和,うちむらなおや
47,Umeno Shitakaze,梅野下風,18th cent,LC Authorities,うめのしたかぜ
