performer_id,image_id
24,8288
24,8290
23,8291
24,8293
24,8294
44,8295
17,8296
24,8297
111,8298
17,8298
24,8299
51,8300
76,8300
51,8301
51,8303
18,8305
14,8306
20,8306
51,8306
76,8306
51,8308
51,8309
18,8310
20,8311
18,8311
51,8311
20,8312
18,8312
18,8313
14,8314
20,8314
18,8314
51,8320
14,8320
18,8323
14,8324
20,8324
18,8324
14,8325
20,8325
18,8325
51,8325
76,8325
14,8326
20,8326
51,8326
76,8326
14,8327
20,8327
18,8327
76,8327
18,8328
14,8329
14,8330
14,8331
51,8331
18,8332
56,8337
55,8337
5,8337
15,8340
20,8340
51,8340
76,8340
15,8341
76,8344
11,8347
15,8347
76,8348
51,8348
76,8349
51,8349
19,8350
76,8352
51,8352
19,8353
19,8354
20,8355
20,8356
19,8357
19,8358
20,8358
11,8359
11,8360
15,8362
11,8369
11,8370
29,8374
54,8374
57,8374
105,8374
69,8374
29,8375
54,8375
57,8375
29,8376
54,8376
57,8376
105,8377
69,8377
41,8377
29,8378
54,8378
57,8378
20,8379
51,8379
20,8380
51,8380
76,8381
26,8382
12,8382
70,8382
20,8382
76,8382
51,8382
15,8382
26,8383
70,8383
12,8383
20,8383
76,8383
51,8383
15,8383
76,8384
51,8384
20,8386
76,8386
82,8386
20,8388
76,8388
82,8388
20,8390
76,8391
24,8391
14,8392
76,8392
14,8393
76,8393
14,8394
76,8394
51,8395
14,8395
20,8396
20,8397
50,8397
51,8398
82,8402
20,8403
51,8405
20,8407
76,8407
51,8407
20,8408
76,8408
51,8408
15,8409
74,8409
20,8410
51,8410
15,8411
76,8411
20,8411
51,8411
15,8412
76,8412
20,8412
51,8412
15,8421
20,8421
51,8421
51,8422
20,8422
15,8423
51,8423
20,8423
76,8423
15,8424
51,8424
20,8424
76,8424
15,8425
51,8425
20,8425
76,8425
51,8426
76,8426
20,8426
82,8426
51,8427
20,8427
76,8427
82,8427
50,8427
24,8427
20,8428
76,8428
50,8428
82,8428
24,8428
51,8428
50,8429
82,8429
51,8429
20,8430
51,8430
20,8431
51,8431
51,8432
20,8433
76,8433
51,8433
15,8434
51,8434
20,8434
76,8434
20,8435
51,8435
51,8436
29,8437
54,8437
57,8437
105,8437
69,8437
41,8437
90,8437
20,8449
76,8451
26,8451
76,8454
51,8454
26,8455
70,8455
12,8455
20,8456
76,8456
51,8456
20,8457
70,8458
76,8458
70,8459
76,8459
76,8460
20,8463
51,8463
26,8464
12,8464
20,8464
76,8464
19,8465
51,8466
1,8469
67,8469
1,8470
67,8470
19,8472
19,8473
51,8473
51,8474
19,8475
19,8476
51,8476
19,8478
19,8479
51,8481
51,8484
51,8485
20,8486
20,8487
20,8488
51,8489
51,8490
51,8491
51,8492
51,8493
20,8494
51,8494
20,8499
20,8508
20,8509
20,8512
20,8513
20,8514
20,8515
20,8519
12,8521
26,8524
26,8525
12,8526
76,8526
16,8530
26,8532
12,8533
26,8533
20,8533
12,8534
16,8534
20,8534
16,8535
26,8535
76,8535
16,8536
20,8537
20,8539
26,8541
20,8541
20,8542
26,8542
20,8543
20,8544
20,8545
26,8545
20,8546
26,8548
20,8549
20,8550
20,8552
20,8553
12,8556
26,8557
26,8558
26,8559
26,8567
20,8567
26,8568
16,8568
26,8569
26,8570
16,8571
12,8572
26,8572
16,8572
16,8573
16,8577
16,8578
16,8579
16,8580
16,8581
76,8585
16,8586
2,8588
84,8588
40,8589
14,8590
17,8590
23,8590
17,8593
16,8593
23,8593
14,8593
17,8594
16,8594
23,8594
14,8594
17,8595
16,8595
23,8595
14,8595
17,8596
16,8596
23,8596
14,8596
17,8597
23,8597
14,8597
17,8599
14,8599
16,8601
17,8601
16,8602
17,8602
17,8603
23,8606
17,8606
16,8607
16,8610
23,8610
17,8610
16,8611
17,8611
16,8612
17,8612
16,8613
17,8613
14,8614
23,8614
17,8615
16,8617
17,8617
14,8618
23,8618
17,8618
23,8619
17,8619
16,8620
16,8624
17,8624
14,8625
23,8625
23,8626
16,8626
23,8627
16,8627
16,8628
16,8629
14,8630
23,8630
17,8630
16,8630
16,8631
16,8632
16,8633
14,8633
14,8634
16,8634
