id,label_eng,label_ja,label_ka,authority_control,sort_ja,play_id,image_id
1,Farmer,Oyaji,おやじ,August 1989 Program,おやじ,[162],[56170]
2,Farmer's wife,Nyōbō,女房,August 1989 Program,にょうぼう,[162],
3,"Magotaro, a horse","Magotarō, Uma",孫太郎（馬）,August 1989 Program,まごたろう（うま）,[162],
4,Local governor,Odaikan,お代官,August 1989 Program,おだいかん,[162],
5,Local governor's assistant,Odaikan no kobun,お代官のこぶん,August 1989 Program,おだいかんのこぶん,[162],
6,Village headman,Shōyasama,庄屋さま,August 1989 Program,しょうやさま,[162],
7,Local governor's wife,Okugata,奥方,August 1989 Program,おくがた,[162],
8,Urazato,Jorō Urazato,女郎浦里,January 1996 Program,うらざと,[14],
9,Midori,Kamuro Midori,禿みどり,January 1996 Program,みどり,[14],
10,Tokijiro Kasuga,Kasuga Tokijirō,春日時次郎,January 1996 Program,かすがときじろう,[14],
11,Otatsu,Kamiyui Otatsu,髪結おたつ,January 1996 Program,おたつ,[14],
12,Okaya,Yarite Okaya,遣り手おかや,January 1996 Program,おかや,[14],
13,Kambei,Teishu Kanbei,亭主勘兵衛,January 1996 Program,かんべい,[14],
14,Hikoroku,Tedai Hikoroku,手代彦六,January 1996 Program,ひころく,[14],
15,"Chuzaemon, Chief retainer",Rōkarō Chūzaemon,老家老忠左衛門,January 1989 Program,ちゅうざえもん,[160],
16,"Kunimochi, Feudal lord",Daimyō Kunimochi,大名国持,January 1989 Program,くにもち,[160],
17,"Hanasode, a courtesan",Hanasodedayū,花袖太夫,January 1989 Program,はなそでだゆう,[160],
18,Courtesan,Yūjo,遊女,January 1989 Program,ゆうじょ,[160],
19,Ukon,Kinju Ukon,近習右近,January 1989 Program,うこん,[160],
20,Sakyo,Kinju Sakyō,近習左京,January 1989 Program,さきょう,[160],
21,Madam,Okami,女将,January 1989 Program,おかみ,[160],
22,Crown Prince Sakuragi,Sakuragi Shinnō,桜木親王,August 1984 Program,さくらぎしんのう,[15],
23,Motokata,Sadaishō Motokata,左大将元方,"August 1984 Program, Bunka dejitaru raiburarii",もとかた,[15],
24,Yoshifuru,Ono Yoshifuru,小野好古,"August 1984 Program, Bunka dejitaru raiburarii",おののよしふる,[15],
25,Sakaki,Sakakino mae,榊の前,August 1984 Program,さかきのまえ,[15],"[12394, 12395, 12396, 12397]"
26,Jibu,Iwakura Jibudayū,岩倉治部大輔,"August 1984 Program, Bunka dejitaru raiburarii",いわくらじぶだゆう,[15],
27,Taro,Sakon Tarō,左近太郎,"August 1984 Program, Bunka dejitaru raiburarii",さこんたろう,[15],
28,Yasunori Kamo's widow,Kamono kōshitsu,加茂の後室,"August 1984 Program, Bunka dejitaru raiburarii",かものこうしつ,[15],"[12389, 12394, 12395, 12396, 12397, 12398]"
29,Heima,Inui Heima,乾平馬,"August 1984 Program, Bunka dejitaru raiburarii",いぬいへいま,[15],[12400]
