id,name_proper,alt_name,name_ka,alt_name_ka,specialty,dates,notes,image_id,musician_perf_id,narrator_perf_id,shamisen_perf_id,puppeteer_perf_id,kashira_id
1,Takemoto Datejidayū (see also Takemoto Datetayū V),Takemoto Datetayū V,竹本伊達路大夫,竹本伊達大夫 (五),Tayu,'1950-1988/04',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[8469, 8470, 9055, 9056, 45321, 52421, 52552, 52634, 52708, 52709, 52781, 53397, 53398, 54622, 55168, 55169, 55174, 55175, 55253, 55272, 55478, 58217, 60332]",,"[10, 102, 112, 115, 118, 133, 142, 144, 147, 158, 17, 174, 178, 190, 197, 203, 206, 21, 216, 223, 240, 245, 267, 269, 272, 304, 316, 32, 322, 327, 349, 35, 370, 377, 383, 387, 398, 40, 404, 412, 417, 420, 435, 439, 441, 444, 45, 452, 489, 49, 495, 502, 515, 533, 535, 548, 55, 554, 557, 587, 59, 600, 608, 637, 68, 74, 783, 79, 866, 885, 91, 927, 93, 936, 938, 941, 968, 983]",,,
2,Takemoto Tsudayū IV,,竹本津大夫 (四),,Tayu,'1950-',"[Living National Treasure]; Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[8588, 9054, 9055, 9056, 9616, 9617, 9618, 9619, 9621, 9628, 9667, 9669, 10100, 12477, 12478, 12489, 44990, 44993, 44994, 45001, 45322, 45325, 45333, 45341, 45355, 45357, 45359, 45361, 45363, 45367, 45369, 45383, 45385, 45395, 45575, 45578, 45579, 45581, 45603, 45604, 45662, 45665, 45671, 45673, 45675, 45679, 45687, 45689, 46192, 46193, 46361, 46363, 46365, 52548, 52549, 52550, 52586, 52690, 52691, 52692, 52693, 52694, 52695, 52696, 52697, 52698, 52700, 52701, 52702, 52730, 52738, 52739, 52742, 52803, 52804, 52805, 52806, 52807, 53165, 53958, 53959, 53960, 53961, 54204, 54206, 54622, 54784, 55024, 55351, 55353, 55354, 55397, 55483, 55485, 56282, 56564, 56569, 56571, 56572, 56573, 56574, 56593, 56622, 56957, 57387, 57396, 57936, 57937, 57938, 57939, 57940, 57941, 57942, 57943, 57944, 57945, 57946, 57947, 57948, 57949, 57950, 57951, 57952, 57953, 57954, 57955, 57956, 57957, 57958, 57959, 57960, 57961, 57962, 57963, 57964, 57965, 57966, 58449, 58450, 58507, 59068, 59069, 59070, 59127, 59798, 59799, 59800, 59801, 60609, 60610, 60611, 60612, 60709, 60711]",,"[10, 103, 143, 150, 185, 220, 258, 279, 288, 318, 32, 350, 353, 356, 383, 385, 399, 413, 429, 439, 467, 49, 490, 496, 519, 52, 531, 551, 554, 558, 589, 59, 695, 698, 707, 708, 709, 718, 720, 74, 80, 927, 93, 942, 974, 980, 981]",,,
3,Tsuruzawa Kanotarō,,鶴澤叶太郎,,Shamisen,'1913-',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[45321, 45449, 52634, 52751, 52755, 52819, 52820, 53291, 58827, 60489]",,,"[101, 11, 112, 114, 116, 134, 14, 152, 156, 175, 185, 199, 202, 209, 212, 216, 223, 239, 241, 27, 276, 28, 285, 287, 301, 316, 317, 324, 33, 345, 35, 350, 370, 377, 383, 394, 398, 405, 41, 435, 442, 444, 448, 453, 49, 495, 520, 530, 538, 548, 554, 565, 65, 70, 77, 78, 88, 93, 942, 980, 981]",,
4,Takezawa Danshichi (see also Takezawa Danjirō IV),Takezawa Danjirō IV,竹澤団七,竹澤団二郎 (四),Shamisen,'1981/04-',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[12477, 12478, 12489]",,,"[385, 399, 403, 429, 439, 467, 485, 490, 496, 519, 531, 551, 554, 558, 575, 589, 598, 599, 608, 612, 617, 621, 623, 631, 646, 656, 669, 672, 730, 732, 751, 758, 794, 807, 811, 814, 838, 841, 843, 851, 859, 864, 877, 883, 892, 911, 912, 922, 952, 955, 963]",,
5,Toyotake Matsukadayū,,豊竹松香大夫,,Tayu,'1959-',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[8337, 9715, 11874, 11875, 45449, 45681, 45691, 46196, 52740, 52751, 52771, 52772, 52773, 53965, 53966, 53967, 53968, 53969, 54625, 57060, 58227, 58228, 58229, 58245, 59912, 59914]",,"[106, 109, 11, 119, 12, 122, 131, 136, 14, 149, 153, 156, 159, 175, 18, 190, 197, 199, 209, 216, 22, 225, 233, 237, 24, 243, 25, 252, 253, 263, 268, 272, 277, 285, 290, 299, 308, 314, 319, 344, 35, 361, 366, 368, 369, 37, 38, 380, 395, 404, 41, 411, 415, 431, 442, 452, 456, 464, 467, 481, 484, 490, 497, 505, 506, 522, 529, 53, 538, 539, 542, 549, 553, 565, 585, 592, 597, 603, 617, 621, 625, 630, 631, 643, 653, 656, 662, 665, 670, 681, 69, 699, 72, 731, 739, 743, 745, 759, 760, 77, 772, 784, 795, 801, 809, 81, 812, 820, 833, 835, 847, 85, 851, 856, 864, 866, 872, 88, 886, 890, 900, 904, 911, 912, 925, 94, 953, 956, 963, 968, 969, 973, 975, 979]",[270],,
6,Takemoto Oritayū V (see also Takemoto Tsunatayū IX),Takemoto Tsunatayū IX,竹本織大夫 (五),竹本綱大夫 (九),Tayu,'1963/01-',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[8821, 8822, 8823, 10190, 45190, 45583, 45585, 45669, 46138, 46697, 52759, 52760, 52787, 53148, 53376, 53377, 53378, 55330, 55331, 55397, 56333, 57451, 59796, 59797, 60179]",,"[105, 11, 12, 127, 132, 136, 147, 154, 192, 204, 207, 222, 232, 234, 239, 243, 252, 266, 311, 321, 336, 354, 364, 384, 396, 416, 434, 437, 44, 442, 449, 451, 482, 498, 50, 504, 530, 54, 546, 567, 571, 606, 611, 63, 635, 646, 658, 668, 671, 69, 690, 696, 708, 709, 722, 738, 76, 770, 797, 800, 803, 813, 85, 90, 92, 926, 97, 973, 975, 98]",,,
7,Tsuruzawa Enjirō,Tsuruzawa Enza VI,鶴澤燕二郎,鶴澤燕三 (六),Shamisen,'1979-',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[9586, 9603, 9604, 9605, 9607, 46189, 46190]","[380, 407, 455, 497, 505, 522, 539, 553, 820, 977]",,"[1, 226, 334, 335, 341, 342, 348, 351, 352, 368, 369, 376, 386, 389, 395, 408, 415, 427, 428, 430, 432, 438, 439, 445, 447, 449, 460, 463, 466, 473, 485, 490, 506, 509, 512, 516, 525, 529, 530, 536, 545, 547, 550, 559, 565, 569, 580, 583, 586, 591, 595, 603, 606, 609, 610, 616, 620, 623, 628, 630, 632, 637, 646, 652, 653, 661, 662, 666, 668, 670, 678, 700, 723, 730, 731, 735, 739, 743, 746, 753, 760, 774, 776, 782, 804, 808, 815, 828, 844, 848, 856, 863, 875, 878, 897, 899, 906, 916, 923, 946, 959, 960, 979]",,
8,Tsuruzawa Enza V,,鶴澤燕三 (五),,Shamisen,'1943/04-',"[Living National Treasure]; Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[45190, 45583, 45585, 45597, 45599, 45683, 52734, 52760, 52778, 52788, 52794, 52795, 52796, 52797, 53142, 53143, 53144, 53145, 53146, 53376, 53377, 53378, 56333, 57333, 57334, 58226, 58228, 58229, 60179]",,,"[105, 125, 129, 147, 16, 165, 188, 20, 202, 207, 217, 222, 231, 234, 236, 243, 267, 277, 285, 311, 320, 323, 339, 348, 355, 360, 380, 388, 396, 416, 440, 449, 455, 482, 497, 505, 516, 530, 537, 546, 567, 58, 580, 603, 606, 608, 636, 663, 666, 674, 679, 685, 690, 691, 768, 771, 780, 79, 791, 827, 85, 92, 926, 937, 975, 98, 980, 981]",,
9,Toyotake Sakitayū,,豊竹咲大夫,,Tayu,'1966-',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[9569, 9570, 9571, 9572, 9573, 9574, 9575, 9576, 9577, 9578, 9579, 9580, 9582, 9583, 9584, 9585, 9592, 9597, 9600, 9999, 10000, 45319, 45559, 45577, 45583, 45677, 45685, 46188, 46189, 46191, 52745, 52761, 52762, 52784, 52785, 53965, 53966, 53967, 53968, 53969, 54113, 54114, 54115, 54138, 54660, 54664, 54665, 56166, 56331, 57153, 58216, 58217, 58953, 58954, 58955, 58956]",,"[107, 109, 111, 128, 129, 13, 144, 155, 165, 173, 175, 185, 194, 211, 219, 22, 229, 230, 239, 240, 241, 250, 256, 267, 275, 292, 300, 304, 335, 339, 340, 348, 352, 365, 372, 380, 388, 394, 395, 399, 405, 409, 434, 438, 455, 476, 482, 494, 50, 501, 523, 525, 529, 536, 542, 559, 566, 571, 58, 582, 584, 586, 590, 613, 618, 624, 637, 638, 641, 65, 656, 673, 682, 684, 70, 702, 708, 709, 725, 734, 739, 751, 755, 758, 76, 786, 806, 81, 814, 824, 826, 839, 84, 841, 844, 848, 85, 855, 859, 864, 872, 884, 898, 913, 919, 924, 937, 949, 957, 97, 976, 978]",,,
10,Nozawa Katsushi (see also Toyozawa Tomisuke V),Toyozawa Tomisuke V,野澤勝司,豊沢富助 (五),Shamisen,'1971-1984/04',"Bunraku meikan (1980, 1985, 1988, 1990, 1994)","[9569, 9570, 9571, 9572, 9573, 9574, 9575, 9576, 9577, 9578, 9579, 9580, 9581, 9582, 9587, 9588, 9589, 9590, 9591, 9599, 9601, 9602, 9608, 45308, 45681, 46188, 46190, 46191, 52791, 52819, 54204, 54625, 55484, 55832, 55833, 55834, 56166, 56331, 57153, 58214, 58215]","[196, 96]",,"[102, 106, 121, 122, 131, 136, 142, 149, 154, 155, 156, 158, 160, 161, 163, 165, 168, 172, 175, 179, 183, 185, 195, 203, 206, 210, 215, 219, 224, 237, 240, 243, 247, 252, 256, 257, 263, 272, 273, 279, 282, 283, 284, 286, 290, 299, 312, 314, 318, 323, 326, 335, 348, 351, 352, 356, 367, 378, 382, 388, 396, 398, 409, 414, 417, 424, 441, 447, 457, 700, 702, 721, 81, 85, 91, 94, 977]",,
