id,pscene_id,puppeteer_id,puppeteersub_id,character_id,kashira_id,sort
1,14,108,0,113,36,1
2,14,100,0,114,116,2
3,14,130,0,115,33,3
4,14,135,0,116,94,4
5,14,136,0,116,94,5
6,14,137,0,116,94,6
7,14,138,0,116,94,7
8,15,20,0,1467,118,1
9,15,16,0,1468,79,2
10,15,11,0,1469,80,3
11,15,12,0,1470,33,4
12,15,14,0,1471,124,5
13,15,100,0,1472,35,6
14,15,94,0,1473,103,7
15,15,26,0,1474,70,8
16,15,19,0,1475,94,9
17,16,20,0,1467,118,1
18,16,16,0,1468,79,2
19,16,11,0,1469,80,3
20,16,12,0,1470,33,4
21,16,14,0,1471,124,5
22,16,100,0,1472,35,6
23,16,94,0,1473,103,7
24,16,26,0,1474,70,8
25,16,19,0,1475,94,9
26,17,51,0,1476,94,1
27,17,18,0,1343,111,2
28,17,82,0,1477,108,3
29,17,136,0,1478,103,4
30,17,44,0,1479,60,5
31,17,94,0,1473,103,6
32,18,94,0,1009,46,1
33,18,132,0,1010,46,2
34,19,11,0,412,103,1
35,19,16,0,413,112,2
36,19,130,0,414,94,3
37,19,19,0,415,94,4
38,19,26,0,416,37,5
39,19,108,0,417,111,6
40,19,25,0,418,36,7
41,20,11,0,412,103,1
42,20,16,0,413,112,2
43,20,130,0,414,94,3
44,20,19,0,415,94,4
45,20,26,0,416,37,5
46,20,108,0,417,111,6
47,20,25,0,418,36,7
48,21,89,0,68,87,1
49,21,44,0,63,33,2
50,21,18,0,66,35,3
51,22,14,0,67,41,1
52,22,124,0,61,108,2
53,22,25,0,62,124,3
54,22,44,0,63,33,4
55,23,16,0,1608,108,1
56,23,82,0,1352,35,2
57,23,51,0,1609,111,3
58,24,18,0,630,36,1
59,24,82,0,631,35,2
60,25,136,0,633,94,1
61,25,132,0,638,36,2
62,25,11,0,635,118,3
63,25,20,0,636,108,4
64,25,24,0,637,6,5
65,25,19,0,634,94,6
66,26,108,0,640,103,1
67,26,130,0,641,79,2
68,27,82,0,643,14,1
69,27,124,0,644,111,2
70,27,44,0,639,112,3
71,27,100,0,645,30,4
72,28,108,0,640,103,1
73,29,44,0,639,112,1
74,29,124,0,644,111,2
75,29,132,0,638,36,3
76,30,108,0,284,103,1
77,30,12,0,283,111,2
78,30,26,0,285,36,3
79,30,51,0,282,103,4
80,30,17,0,281,111,5
81,30,49,0,281,111,6
82,30,140,0,281,111,7
83,31,44,0,760,35,1
84,31,18,0,758,111,2
85,31,11,0,759,14,3
