id,data_id,code,production_id,play_id
1,,19850103-kanad,142,63
2,,19641100-onshu,1,86
3,,19641100-igago,1,29
4,,19641100-momij,1,47
5,,19641100-futat,1,18
6,,19641100-meido,1,7
7,,19641100-ichin,1,72
8,,19641100-kuruw,1,87
9,,19681027-kagam,3,30
10,,19681027-goshoz,3,66
11,,19681027-katsu,3,32
12,,19680225-danno,2,83
13,,19680225-somem,2,5
14,,19680225-mojoz,2,88
15,,19680225-hibar,2,89
16,,19680225-chikag,2,6
17,,19680225-tsuri,2,70
18,,19690511-ichin,4,72
19,,19690511-roben,4,68
20,,19690511-keise,4,33
21,,19690914-omige,5,90
22,,19690914-michiy,5,91
23,,19690914-keise,5,35
24,,19691026-honch,6,27
25,,19700208-hirak,7,26
26,,19700208-hades,7,82
27,,19700403-yoshi,8,62
28,,19700524-yoshi,9,62
29,,19700707-sonez,10,3
30,,19700707-tsuri,10,70
31,,19700913-sugaw,12,73
32,,19701011-sakur,13,92
33,,19701011-imose,13,79
34,,19701011-ashiy,13,15
35,,19701011-katsu,13,32
36,,19701108-koimu,14,37
37,,19701108-genpe,14,93
38,,19710207-katak,15,94
39,,19710207-hanak,15,64
40,,19710207-shinp,15,80
41,,19710410-imose,16,79
42,,19710410-uriko,16,9
43,,19710410-danno,16,83
44,,19710410-kusun,16,95
45,,19710523-gions,17,19
46,,19710523-gotai,17,22
47,,19710707-yarin,18,61
48,,19710707-natsu,18,71
49,,19710707-kanji,18,31
50,,19710707-sanni,18,96
51,,19710912-ichin,19,72
52,,19710912-sessh,19,75
53,,19710912-danno,19,83
54,,19711010-somem,20,5
55,,19711010-gishi,20,20
56,,19711010-tamam,20,58
57,,19711010-koibi,20,97
58,,19711010-zohoc,20,98
59,,19711114-sakur,21,92
60,,19711114-heike,21,24
61,,19711114-keise,21,35
62,,19711114-chine,21,99
63,,19720102-tsubo,22,60
64,,19720102-hibar,22,65
65,,19720102-taihe,22,101
66,,19720102-hades,22,82
67,,19720102-ichin,22,72
68,,19720102-kotob,22,100
69,,19720206-koiny,23,38
70,,19720206-taihe,23,101
71,,19720206-meido,23,7
72,,19720415-igago,24,29
73,,19720415-modor,24,102
74,,19720415-hanan,24,23
75,,19720415-keise,24,33
76,,19720415-nezum,24,103
77,,19720514-sugaw,25,73
78,,19720716-shout,26,57
79,,19720716-kokaj,26,39
80,,19720716-keise,26,34
81,,19720716-katsu,26,32
82,,19720716-iseon,26,104
83,,19720910-meibo,27,45
84,,19720910-gokus,27,21
85,,19720910-sanni,27,96
86,,19720910-kishi,27,105
88,,19721007-kanad,29,63
89,,19721112-ehont,30,16
90,,19721112-hades,30,82
91,,19721112-narih,30,49
92,,19730715-shins,37,106
93,,19730715-sessh,37,75
94,,19730715-gojun,37,107
95,,19730715-futat,37,18
96,,19730715-honch,37,27
97,,19730715-tokai,37,59
98,,19730909-futago,38,17
99,,19730909-onnak,38,1
100,,19730909-sessu,38,75
101,,19730909-kamik,38,108
102,,19731007-kokus,39,40
103,,19731007-keise,39,34
104,,19731007-meido,39,7
105,,19731007-futag,39,17
106,,19731111-kokus,40,40
107,,19731111-meido,40,7
109,,19730102-kotob,31,100
110,,19730102-shinj,31,2
111,,19730102-omige,31,90
112,,19730102-chika,31,6
113,,19730102-mojoz,31,88
114,,19730200-meibo,32,45
115,,19730200-tsubo,32,60
116,,19730200-keise,32,33
117,,19730200-hades,32,82
118,,19730200-danno,32,83
119,,19730200-datem,32,109
121,,19730204-oshua,33,110
122,,19730425-yoshi,34,62
123,,19730425-komoc,34,41
124,,19730425-gosho,34,66
125,,19730425-sanju,34,77
126,,19730425-ehont,34,16
127,,19730425-shinj,34,54
128,,19730425-kiich,34,36
129,,19730513-shins,36,106
130,,19730513-komoc,36,41
131,,19730513-gojun,36,107
132,,19730513-kusun,36,95
133,,19730513-iseon,36,104
134,,19730513-hidak,36,25
135,,19730507-danno,35,83
136,,19730507-mizun,35,111
137,,19730507-botan,35,112
142,,19740102-kotob,41,100
143,,19740102-goban,41,85
144,,19740102-sugaw,41,73
145,,19740102-katsu,41,32
146,,19740102-yugir,41,113
147,,19740203-hanan,42,23
148,,19740203-chika,42,6
149,,19740203-kuruw,42,87
150,,19740203-igago,42,29
151,,19740203-datem,42,109
152,,19740203-hadek,42,114
153,,19740407-ehont,43,16
154,,19740428-ehont,44,16
155,,19740428-chono,44,115
156,,19740600-modor,45,102
157,,19740600-koibi,45,97
158,,19740600-igago,45,29
159,,19740600-ichin,45,72
160,,19740600-chika,45,6
161,,19740600-yoshi,45,62
163,,19740717-kamak,46,11
164,,19740717-sonez,46,3
165,,19740717-hidak,46,25
166,,19740717-hades,46,82
167,,19740914-tamam,47,58
168,,19740914-omige,47,90
169,,19741013-genpe,48,93
171,,19741013-meibo,48,45
172,,19741013-tsubo,48,60
173,,19741013-tsuri,48,70
174,,19741119-kagam,49,30
175,,19741119-shinp,49,80
176,,19741119-nemos,49,74
177,,19750102-ichin,50,72
178,,19750102-omige,50,90
179,,19750102-kanji,50,31
180,,19750102-koino,50,116
181,,19750102-ryuko,50,118
183,,19750201-ichin,51,72
184,,19750201-ninin,51,119
185,,19750418-shinp,52,80
186,,19750418-yoshi,52,62
187,,19750418-kamik,52,108
188,,19750418-kanad,52,63
189,,19750418-hiyos,52,120
190,,19750418-kumen,52,121
191,,19750510-shinr,53,55
192,,19750510-musum,53,48
193,,19750510-hades,53,82
194,,19750713-onnak,54,1
195,,19750713-nemos,54,74
196,,19750713-igago,54,29
197,,19750713-danno,54,83
198,,19750713-seish,54,122
199,,19750913-hikos,198,78
200,,19751012-honch,55,27
201,,19751012-ashiy,55,15
202,,19751012-hirak,55,26
203,,19751012-gotai,55,22
204,,19751012-momij,55,47
205,,19751213-honch,56,27
206,,19760102-kotob,57,100
207,,19760102-musum,57,48
208,,19760102-akega,57,14
209,,19760102-kagam,57,30
210,,19760319-sugaw,58,73
211,,19760319-katsu,58,32
212,,19760319-hirak,58,26
213,,19760319-sonez,58,3
214,,19760415-roben,59,68
215,,19760415-koiny,59,38
216,,19760415-sugaw,59,73
217,,19760415-koimu,59,37
218,,19760515-ashiy,199,15
219,,19760515-somem,199,5
220,,19760515-suman,199,81
221,,19760515-natsu,199,71
222,,19760709-iseon,60,104
223,,19760709-kanad,60,63
224,,19760709-hanak,60,64
225,,19760709-meibo,60,125
226,,19840818-ashiy,136,15
227,,19840818-seish,136,122
228,,19840818-kunik,136,13
229,,19840818-bakek,136,126
230,,19761112-oshua,63,110
231,,19761112-tamam,63,58
232,,19761112-shinj,63,4
233,,19761112-yukiw,63,127
234,,19760926-keise,62,35
235,,19761204-kanad,64,63
236,,19770102-somem,65,5
237,,19770102-sanju,65,77
238,,19770102-honch,65,27
239,,19770102-sessh,65,75
240,,19770102-menur,65,46
241,,19770205-igago,66,29
242,,19770205-hades,66,82
243,,19770205-katak,66,94
244,,19770205-sanju,66,77
245,,19770205-kokaj,66,39
247,,19770409-imose,67,79
248,,19770514-imose,68,79
249,,19770602-ehont,69,16
250,,19770602-tsuri,69,70
251,,19770602-meibo,69,45
252,,19770602-tokai,69,59
253,,19770709-hirak,70,26
254,,19770709-katsu,70,32
255,,19770709-gokus,70,21
256,,19770709-tokaid,70,59
257,,19770805-ninin,71,129
258,,19770805-heike,71,24
259,,19770805-shinp,71,80
260,,19770818-sansh,72,130
261,,19770910-zohoc,73,98
262,,19770910-shinj,73,2
263,,19770910-futats,73,18
264,,19771015-futats,74,18
265,,19771015-mojoz,74,88
266,,19771015-meido,74,7
267,,19771015-danno,74,83
268,,19771211-meibo,75,45
269,,19771211-keise,75,33
270,,19771211-datem,75,109
271,,19780102-kokus,76,40
272,,19780102-tsuri,76,70
273,,19780102-kotob,76,42
274,,19780102-heike,76,24
275,,19780102-chika,76,6
276,,19780211-sugaw,77,73
277,,19780211-danno,77,83
278,,19780211-sessh,77,75
279,,19780211-gishi,77,20
280,,19780211-yarin,77,61
281,,19780409-yoshi,78,62
282,,19780513-shout,79,57
283,,19780529-nami,80,131
284,,19780529-hatsu,80,133
285,,19780529-michi,80,91
286,,19780529-omont,80,134
287,,19780707-onnak,81,1
288,,19780707-keise,81,34
289,,19780707-kanji,81,31
290,,19780707-natsu,81,71
291,,19780707-sonez,81,3
292,,19700801-datem,11,109
293,,19700801-sonez,11,3
299,,19780819-kiich,82,36
300,,19780819-kunik,82,13
301,,19780819-honch,82,27
302,,19780819-ehont,82,16
303,,19780819-hanak,82,64
304,,19780819-bakek,82,126
305,,19780930-kanad,83,63
306,,19781209-sugaw,84,73
307,,19781209-keise,84,35
308,,19781209-narih,84,49
309,,19790102-sugaw,85,73
310,,19790210-hirak,86,26
311,,19790210-shinj,86,54
312,,19790414-shinp,87,80
313,,19790414-ehont,87,16
314,,19790414-kiich,87,36
315,,19790414-shinj,87,2
316,,19790414-zohoo,87,67
317,,19790512-ichin,88,72
318,,19790512-sessh,88,75
319,,19790512-menur,88,46
320,,19790512-yoshi,88,62
321,,19790512-shinj,88,4
322,,19790707-kamak,89,11
323,,19790707-hades,89,82
324,,19790707-shout,89,57
325,,19790908-tsubo,197,60
326,,19790908-kiich,197,36
327,,19790908-katsu,197,32
333,,19791013-hachi,91,135
334,,19791013-datem,91,109
335,,19791013-igago,91,29
336,,19791013-zohoc,91,98
337,,19791208-imose,92,79
338,,19800102-ichin,95,72
339,,19800102-kuruw,95,87
340,,19800102-meibo,95,45
341,,19800102-matsu,95,136
342,,19800209-kokus,96,40
343,,19800209-goban,96,85
344,,19800209-koiny,96,38
345,,19800209-tenno,96,137
346,,19800413-shins,97,106
347,,19800413-tsubo,97,60
348,,19800413-yoshi,97,62
349,,19800413-kusun,97,95
350,,19800413-gosho,97,66
351,,19800413-hidak,97,25
352,,19800510-kotob,98,100
353,,19800510-danno,98,83
354,,19800510-iseon,98,104
355,,19800510-hidak,98,25
356,,19800510-keise,98,34
357,,19800510-natsu,98,71
358,,19800729-ichin,100,72
359,,19800729-koino,100,116
360,,19800705-hanak,99,64
361,,19800705-genpe,99,93
362,,19800705-iseon,99,104
363,,19800705-keise,99,33
364,,19800705-meido,99,7
365,,19800906-shinu,101,56
366,,19800906-sessh,101,75
367,,19800906-somem,101,5
368,,19800906-dango,101,138
369,,19801010-kanad,102,63
370,,19801010-igago,102,29
371,,19801010-koimu,102,37
372,,19801010-shinu,102,56
375,,19801209-shinp,103,80
376,,19810102-kotob,104,100
377,,19810102-omige,104,90
378,,19810102-koiny,104,38
379,,19810102-honch,104,27
380,,19810102-danno,104,83
381,,19810214-meido,105,7
382,,19810214-sonez,105,3
383,,19810214-shinj,105,2
384,,19810410-gions,106,19
385,,19810410-gishi,106,20
386,,19810410-kokaj,106,39
387,,19810410-kagam,106,30
388,,19810410-akega,106,14
389,,19810516-yoshi,107,62
394,,19810710-hirak,108,26
395,,19810710-tokai,108,59
396,,19810710-hiyos,108,120
397,,19810710-katsu,108,32
398,,19810905-genpe,109,93
399,,19810905-futat,109,18
400,,19810905-momij,109,47
401,,19810905-gotenj,109,139
402,,19811011-kiich,110,36
403,,19811011-sakur,110,92
404,,19811011-sekit,110,52
405,,19811011-gotai,110,22
406,,19811011-shinj,110,4
407,,19811208-kanad,111,63
408,,19820102-menur,112,46
409,,19820102-ehont,112,16
410,,19820102-koino,112,116
411,,19820102-sessh,112,75
412,,19820102-sonez,112,3
413,,19820102-kojo,112,168
414,,19820213-onnak,113,1
415,,19820213-kokus,113,40
416,,19820213-shinj,113,4
417,,19820310-ehont,114,16
418,,19820310-hades,114,82
419,,19820310-datem,114,109
420,,19820310-sonez,114,3
421,,19820310-zohoo,114,67
422,,19820410-imose,115,79
423,,19820515-kagam,116,30
424,,19820515-gions,116,19
425,,19820709-hikos,117,78
426,,19820709-natsu,117,71
427,,19820709-yuran,117,141
428,,19820904-tamam,118,58
429,,19820904-chikag,118,6
430,,19821010-oshua,119,110
431,,19821207-oshua,120,110
432,,19830102-sugaw,121,73
433,,19830212-horik,122,28
434,,19830212-daiky,122,76
435,,19830212-yarin,122,61
436,,19830409-roben,123,68
437,,19830409-chikag,123,6
438,,19830409-yoshi,123,62
439,,19830409-shinp,123,80
440,,19830409-honch,123,27
441,,19830507-omige,124,90
442,,19830507-kamak,124,11
444,,19830715-yarin,125,61
445,,19830715-hanak,125,64
446,,19830715-tsubo,125,60
447,,19830715-kanji,125,31
448,,19830903-musum,126,48
449,,19830903-shout,126,57
450,,19830903-hades,126,82
451,,19830903-dango,126,138
452,,19830903-karuk,126,142
453,,19831014-musum,127,48
454,,19831014-hades,127,82
455,,19831014-momij,127,47
456,,19831014-ninin,127,119
457,,19831014-shinj,127,2
458,,19831209-honch,129,27
460,,19840102-ichin,130,72
461,,19840406-kotob,132,100
462,,19840406-yoshi,132,62
463,,19840512-kotob,133,100
464,,19840512-sugaw,133,73
465,,19840606-shout,134,57
466,,19840713-kokus,135,40
467,,19840713-keise,135,34
468,,19840713-sonez,135,3
473,,19840921-ashiy,137,15
474,,19840921-seish,137,122
475,,19840921-kunik,137,13
476,,19840921-bakek,137,126
477,,19841017-koino,138,116
478,,19841017-sugaw,138,73
479,,19841017-heike,138,24
480,,19841017-yoshi,138,62
481,,19841109-igago,139,29
482,,19841109-somem,139,5
483,,19841109-michi,139,143
484,,19841211-shinp,140,80
485,,19841211-narih,140,49
487,,19791210-sugaw,94,73
489,,19850103-tsuri,142,70
490,,19850216-meido,143,7
491,,19850216-ikuda,143,8
492,,19850216-shinj,143,4
493,,19850407-kotob,144,42
494,,19850407-hirak,144,26
495,,19850407-tenno,144,137
496,,19850407-gosho,144,66
497,,19850407-danno,144,83
498,,19850407-zohok,144,144
499,,19850511-kotob,145,42
500,,19850511-komoc,145,41
501,,19850511-hirak,145,26
502,,19850511-tsuri,145,70
503,,19850511-ehont,145,16
504,,19850511-koimu,145,37
505,,19850511-danno,145,83
506,,19850605-ninin,146,119
507,,19850605-sugaw,146,73
508,,19850605-keise,146,33
509,,19850605-zohoo,146,67
510,,19850706-natsu,147,71
511,,19850706-horik,147,28
512,,19850706-danba,147,145
513,,19850817-tamam,148,58
514,,19850817-futat,148,18
515,,19850817-genpe,148,93
516,,19850817-sanju,148,77
517,,19850817-keise,148,146
518,,19850913-gotenj,149,139
519,,19850913-zohoc,149,98
520,,19850913-futat,149,18
521,,19851115-ehont,151,16
522,,19851115-yukiw,151,127
523,,19851115-katsu,151,32
524,,19851115-dojoj,151,147
525,,19851115-shuss,151,148
526,,19851210-ninin,200,119
527,,19851210-ichin,200,72
528,,19851210-tsubo,152,60
529,,19860103-shich,153,53
530,,19860103-kuruw,153,87
531,,19860103-sessh,153,75
532,,19860103-datem,153,109
533,,19860103-miura,153,149
534,,19860103-kotob,153,150
535,,19860215-heike,154,24
536,,19860215-shuss,154,148
537,,19860215-matsu,154,136
538,,19860215-kokus,154,40
539,,19860405-imose,155,79
540,,19860510-igago,156,29
541,,19860705-genpe,157,93
542,,19860705-sekit,157,52
543,,19860705-shinr,157,55
544,,19860705-iseon,157,104
545,,19860705-keise,157,146
546,,19860705-yadon,157,151
547,,19860801-uriko,158,9
548,,19860801-kiich,158,36
549,,19860801-sugaw,158,73
550,,19860801-kinut,158,12
551,,19860801-yaoya,158,153
552,,19860801-shunk,158,152
553,,19860830-imose,159,79
554,,19840218-shinj,131,2
555,,19840218-sonez,131,3
556,,19840218-onnak,131,1
557,,19861003-heike,160,24
558,,19861003-shinj,160,2
559,,19861003-meido,160,7
565,,19870103-kotob,161,100
566,,19870103-ichin,161,72
567,,19870103-shinp,161,80
568,,19870103-komoc,161,41
569,,19870103-hades,161,82
570,,19870103-hanak,161,64
571,,19870207-daiky,162,76
572,,19870207-yugir,162,113
573,,19870207-shinj,162,2
574,,19870306-tsubo,163,60
575,,19870306-kokaj,163,39
576,,19870306-onnak,163,1
577,,19870403-ehont,164,16
578,,19870603-sonez,165,3
579,,19870703-hadek,166,114
580,,19870703-yoshi,166,62
581,,19870703-natsu,166,71
582,,19870703-narih,166,49
583,,19870803-tsuri,167,70
584,,19870803-momij,167,47
585,,19870803-oeyam,167,154
586,,19870803-ochof,167,155
587,,19870803-meoto,167,156
588,,19870912-hadek,168,114
589,,19870912-natsu,168,71
590,,19870912-omige,168,90
591,,19870912-hades,168,82
592,,19870912-momij,168,47
593,,19871103-omige,169,90
594,,19871103-koiny,169,38
595,,19871103-shinj,169,4
596,,19871208-shinp,170,80
597,,19871208-kiich,171,36
598,,19871208-chika,171,6
599,,19880103-shinc,172,53
600,,19880103-hikos,172,78
601,,19880103-ninin,172,119
602,,19880103-roben,172,68
603,,19880103-sanju,172,77
604,,19880206-meido,173,7
605,,19880206-sonez,173,3
606,,19880206-futag,173,17
607,,19880303-gosho,174,66
608,,19880303-keise,174,33
609,,19880303-hidak,174,25
610,,19880303-yuran,174,141
611,,19880303-meibo,174,45
612,,19880303-modor,174,157
613,,19880403-karuk,175,142
614,,19880403-kojo,175,179
615,,19880403-keise,175,34
616,,19880403-renji,175,50
617,,19880403-honch,175,27
618,,19880506-gosho,176,66
619,,19880506-keise,176,34
620,,19880506-zohoo,176,67
621,,19880506-honch,176,27
622,,19880703-gotai,177,22
623,,19880703-tokai,177,59
624,,19880703-kokaj,177,39
625,,19880703-meibo,177,125
626,,19880803-saiyu,178,51
627,,19880803-ohan,178,159
628,,19880803-maida,178,158
629,,19881103-hirak,179,26
630,,19881206-kanad,180,63
631,,19890103-kotob,181,100
632,,19890103-shins,181,106
633,,19890103-tsubo,181,60
634,,19890103-datem,181,109
635,,19890103-hiyos,181,120
636,,19890103-keise,181,35
637,,19890103-asama,181,160
638,,19890210-horik,182,28
639,,19890210-koiny,182,38
640,,19890210-tenno,182,137
641,,19890303-yoshi,183,62
642,,19890303-katsu,183,32
643,,19890403-sugaw,184,73
644,,19890803-oeyam,185,161
645,,19890803-akaij,185,162
646,,19890803-nezum,185,103
647,,19890909-futat,186,18
648,,19890909-koimu,186,37
649,,19890909-wadak,186,164
650,,19891103-futat,187,18
651,,19891103-onnak,187,1
652,,19891103-matsu,187,136
653,,19891207-yoshi,188,62
654,,19891207-katsu,188,32
655,,19891207-heike,189,24
656,,19900103-shich,190,53
657,,19900103-musum,190,48
658,,19900103-kuruw,190,87
659,,19900103-gions,190,19
660,,19900103-koimu,190,37
661,,19900103-dango,190,138
662,,19900708-genpe,191,93
663,,19900708-iseon,191,104
664,,19900708-kanji,191,31
665,,19910103-kotob,192,100
666,,19910103-igago,192,29
667,,19910103-meibo,192,45
668,,19910103-kamik,192,108
669,,19910103-imose,192,79
670,,19910209-katak,193,94
671,,19910209-yarin,193,61
672,,19910209-igago,193,29
673,,19910406-kusun,194,95
674,,19910406-hades,194,82
675,,19910406-hidak,194,25
676,,19910406-shinu,194,56
677,,19920103-hibar,196,65
678,,19920103-somem,196,5
679,,19920103-gosho,196,66
680,,19920103-chika,196,6
681,,19920103-modor,196,157
682,,19920103-hanak,196,64
684,,19910510-kumen,195,121
685,,19910510-tamam,195,58
686,,19910510-tsubo,195,60
687,,19910510-shinu,195,56
688,,19770729-sugaw,201,73
689,,19770729-keise,201,33
690,,19781211-heike,202,24
691,,19771212-igago,203,29
692,,19790908-hachi,197,135
694,,19800510-kojo,98,167
695,,19820213-kojo,113,168
696,,19831209-meido,128,7
697,,19841211-heike,207,24
698,,19711114-kojo,21,169
699,,19801209-ehont,208,16
700,,19801209-hanak,208,64
701,,19830715-kamak,125,11
702,,19771102-kanad,209,63
703,,19900310-keise,210,34
704,,19900310-shinp,210,80
705,,19900310-ninin,210,119
706,,19900310-sugaw,210,73
707,,19711010-kojo,20,169
708,,19850407-kojo,144,170
709,,19850511-kojo,145,170
710,,19870403-kojo,164,171
711,,19900210-somem,211,5
712,,19900210-shinj,211,4
713,,19970224-honch,212,27
714,,19840608-heike,213,24
715,,19870617-sonez,215,3
716,,19880525-yoshi,214,62
717,,19881206-tsubo,216,60
718,,19730102-kojo,31,172
720,,19730204-kojo,33,172
721,,19740407-ninin,43,119
722,,19890703-kumen,217,121
723,,19890703-chika,217,6
724,,19890703-shout,217,57
725,,19900210-chika,211,6
