id,dates,place,label_eng,image_id,performance_id,play_id
1,1964/11/n.d.-1964/11/n.d.,not recorded,November 1964,[nan],"[2, 3, 4, 5, 6, 7, 8]",86
2,1968/02/25-1968/03/10,National Theatre of Japan,February 1968,[nan],"[12, 13, 14, 15, 16, 17]",83
3,1968/10/27-1968/11/10,National Theatre of Japan,October 1968,[nan],"[9, 10, 11]",30
4,1969/05/11-1969/05/25,National Theatre of Japan,May 1969,[nan],"[18, 19, 20]",72
5,1969/09/14-1969/09/21,National Theatre of Japan,September 1969,[nan],"[21, 22, 23]",90
6,1969/10/26-1969/11/09,National Theatre of Japan,October 1969,[nan],[24],27
7,1970/02/08-1970/02/22,National Theatre of Japan,February 1970,[nan],"[25, 26]",26
8,1970/04/03-1970/04/19,Asahiza,April 1970,[nan],"[27, 980]",62
9,1070/05/24-1970/06/07,National Theatre of Japan,May 1970,[nan],"[28, 981]",62
10,1970/07/07-1970/07/26,Asahiza,July 1970,[nan],"[29, 30]",3
11,1970/08/01-1970/08/05,Others,August 1970 Tour,[nan],"[292, 293]",109
12,1970/09/13-1970/09/20,National Theatre of Japan,September 1970,[nan],[31],73
13,1970/10/11-1970/10/25,Asahiza,October 1970,[nan],"[32, 33, 34, 35]",92
14,1970/11/08-1970/11/22,National Theatre of Japan,November 1970,[nan],"[36, 37]",37
15,1971/02/07-1971/02/21,National Theatre of Japan,February 1971,[nan],"[38, 39, 40]",94
16,1871/04/10-1971/04/25,Asahiza,April 1971,[nan],"[41, 42, 43, 44]",79
17,1971/05/23-1971/06/06,National Theatre of Japan,May 1971,[nan],"[45, 46]",19
18,1971/07/07-1971/07/30,Asahiza,July 1971,[nan],"[47, 48, 49, 50]",61
19,1971/09/12-1971/09/19,National Theatre of Japan,September 1971,[nan],"[51, 52, 53]",72
20,1971/10/10-1971/10/24,Asahiza,October 1971,"[45025, 46774, 48258, 48259, 48260, 48261, 48262, 62117, 62118, 62119, 62120, 62121, 62122, 62123, 62124, 62125, 62126, 62127, 62128]","[54, 55, 56, 57, 58, 707]",5
21,1971/11/14-1971/11/28,National Theatre of Japan,November 1971,[45675],"[59, 60, 61, 62, 698]",92
22,1972/01/02-1972/01/21,Asahiza,January 1972,[nan],"[63, 64, 65, 66, 67, 68]",60
23,1972/02/06-1972/02/20,National Theatre of Japan,February 1972,"[45013, 45478, 45480, 45481, 45482, 45581, 46752, 47932, 47933, 47934, 47935, 47936, 47937, 47938, 47939, 47940, 47941, 47942, 47943, 47944, 47945, 47946, 47947, 47948, 47949, 47963, 47964, 52850, 52851, 52852, 52853, 52854, 52855, 52856, 52857, 52858, 52859, 52860, 52861, 52862, 52863, 52864, 52865, 52866, 52867, 52868, 52869, 52870, 52871, 52872, 52873, 52874, 52875, 52876, 52877, 52878, 52995, 64426]","[69, 70, 71]",38
24,1972/04/15-1972/04/27,Asahiza,April 1972,[nan],"[72, 73, 74, 75, 76]",29
25,1972/05/14-1972/05/28,National Theatre of Japan,May 1972,[nan],[77],73
26,1972/07/16-1972/07/27,Asahiza,July 1972,[nan],"[78, 79, 80, 81, 82]",57
27,1972/09/10-1972/09/24,National Theatre of Japan,September 1972,[nan],"[83, 84, 85, 86]",45
29,1972/10/07-1972/10/22,Asahiza,October 1972,[nan],[88],63
30,1972/11/12-1972/11/19,National Theatre of Japan,November 1972,[nan],"[89, 90, 91]",16
31,1973/01/02-1973/01/23,Asahiza,January 1973,[nan],"[109, 110, 111, 112, 113, 718]",100
32,1973/02/n.d.-1973/03/n.d.,Others,February 1973 Tour,[nan],"[114, 115, 116, 117, 118, 119]",45
33,1973/02/04-1973/02/18,National Theatre of Japan,February 1973,[nan],"[121, 720]",110
34,1973/04/25-1973/05/06,Asahiza,April 1973,[nan],"[122, 123, 124, 125, 126, 127, 128]",62
35,"1973/05/07,1973/05/28",Asahiza,May 1973 Asahiza,[nan],"[135, 136, 137]",83
36,1973/05/13-1973/05/27,National Theatre of Japan,May 1973 National Theatre,[nan],"[129, 130, 131, 132, 133, 134]",106
37,1973/07/15-1973/07/29,Asahiza,July 1973,[nan],"[92, 93, 94, 95, 96, 97]",106
38,1973/09/09-1973/09/23,National Theatre of Japan,September 1973,[nan],"[98, 99, 100, 101]",17
39,1973/10/07-1973/10/21,Asahiza,October 1973,[nan],"[102, 103, 104, 105]",40
40,1973/11/11-1973/11/18,National Theatre of Japan,November 1973,[nan],"[106, 107]",40
41,1974/01/02-1974/01/22,Asahiza,January 1974,[nan],"[142, 143, 144, 145, 146]",100
42,1974/02/03-1974/02/17,National Theatre of Japan,February 1974,"[45026, 45027, 45028, 45029, 45522, 45524, 45579, 45585, 45587, 45589, 45591, 45636, 45638, 45640, 45642, 45644, 45652, 45654, 45656, 45658, 45662, 45664, 45665, 45666, 45667, 45669, 45671, 45673, 45673, 45673, 46775, 46776, 46777, 46778, 48263, 48264, 48265, 48266, 48267, 48268, 48269, 48270, 48271, 48272, 48273, 48274, 48275, 48276, 48277, 48278, 48279, 48280, 48281, 48282, 48283, 48284, 48285, 48286, 48287, 48288, 48289, 48290, 48291, 48292, 48293, 48294, 48295, 48296, 48297, 48298, 48299, 48300, 48301, 48302, 48303, 48304, 48305, 48306, 48307, 48308, 48309, 48310, 48311, 48312, 48313, 48314, 48315, 48316, 48317, 48318, 48319, 48320, 48321, 48322, 48323, 48324, 48325, 48326, 48327, 48328, ...]","[147, 148, 149, 150, 151, 152]",23
43,1974/04/07-1974/04/21,Asahiza,April 1974 Asahiza,[nan],"[153, 721]",16
44,1974/04/28-1974/05/12,National Theatre of Japan,April 1974 National Theatre,[nan],"[154, 155]",16
45,1974/06/n.d.-1974/07/n.d.,Others,June 1974,[nan],"[156, 157, 158, 159, 160, 161]",102
46,1974/07/17-1974/07/30,Asahiza,July 1974,[46527],"[163, 164, 165, 166]",11
47,1974/09/14-1974/09/28,National Theatre of Japan,September 1974,[nan],"[167, 168]",58
