description,image_id,label_eng,label_ka,notes,sort_ja,id
nan,"[44990, 45057, 45216, 46025, 46834, 47367, 47368, 47369, 47370, 47371, 49248, 49249, 56319, 56320, 56321, 56322, 56350, 56351, 56352, 56353, 56354, 56355]",Asahi Theater,朝日座,,あさひざ,1
High wooden clogs worn on stage by head puppeteers.,"[44981, 44986, 45010, 45017, 45024, 45050, 45057, 45071, 45112, 45115, 45300, 45327, 45335, 45339, 45382, 45384, 45492, 45493, 45928, 45940, 46013, 46015, 46018, 46019, 46160, 46477, 46515, 46517, 46535, 46537, 46715, 46720, 46748, 46759, 46773, 46823, 46824, 46833, 46861, 46898, 46901, 47050, 47093, 47238, 47239, 47240, 47241, 47468, 47469, 47470, 47871, 47872, 48241, 48249, 48250, 48255, 49065, 49066, 49067, 49068, 49069, 49226, 49227, 49230, 49236, 49237, 49238, 49239, 49240, 49683, 49684, 49687, 49688, 50887, 50888, 50889, 50890, 50975, 50976, 50977, 51023, 51024, 52262, 52501, 52606, 52607, 52640, 53010, 53036, 54850, 54851, 54852, 54853, 54854, 54855, 54981, 55810, 55911, 56274, 56304, ...]",Butai geta [high wooden clogs],舞台下駄,,ぶたいげた,2
"Body, torso, or framework of puppets.","[44978, 45071, 45235, 45244, 45246, 46033, 46155, 46156, 46157, 46712, 46717, 46720, 46836, 46861, 47007, 47008, 47009, 47010, 47157, 47242, 47243, 47244, 47245, 47433, 49225, 49262, 49263, 49649, 49650, 49653, 49654, 49655, 49656, 49657, 49658, 49659, 49660, 49661, 49662, 52471, 52482, 52483, 52484, 52485, 52486, 55910, 56456, 56457, 56458, 58278, 58280, 61632, 61636, 61637, 61638, 61639, 61641, 61980, 61981, 64511]",Dō [body],胴,,どう,3
nan,"[44990, 44992, 44993, 44997, 44998, 45000, 45001, 45015, 45017, 45024, 45054, 45112, 45306, 45308, 45310, 45312, 45314, 45318, 45357, 45359, 45361, 45363, 45369, 45472, 45473, 45474, 45476, 45503, 45505, 45506, 45507, 45509, 45510, 45512, 45513, 45593, 45595, 45600, 45601, 45602, 45603, 45604, 45990, 45992, 45994, 46013, 46017, 46039, 46479, 46724, 46731, 46732, 46734, 46735, 46736, 46738, 46748, 46755, 46759, 46833, 46836, 46898, 47342, 47343, 47344, 47345, 47346, 47347, 47348, 47349, 47350, 47351, 47352, 47353, 47354, 47355, 47356, 47357, 47358, 47360, 47361, 47424, 47425, 47426, 47427, 47428, 47554, 47564, 47570, 47616, 47617, 47618, 47646, 47647, 47648, 47650, 47651, 47652, 47655, 47656, ...]",Dressing room,楽屋,,がくや,4
Small room over stage-right entrance occupied by offstage musicians.,"[11630, 11633, 44982, 44997, 45004, 45005, 45268, 45304, 45325, 45327, 45431, 45433, 45445, 45460, 46667, 46713, 46716, 46724, 46740, 46913, 47104, 47105, 47558, 47559, 47560, 47561, 47562, 47563, 47700, 47701, 47702, 47703, 47733, 47734, 47735, 51571, 52540, 52541, 52542, 52543, 52544, 52545, 52546, 52662, 52663, 52664, 52665, 52666, 52667, 52668, 52669, 52670, 52671, 52672, 54870, 54993, 56256, 56257, 57878, 57879, 57880, 57885, 57886, 60712, 60713, 61127, 61187, 61272, 61672, 61965, 61977, 64524]",Geza [room for offstage musicians],下座あるいは囃子部屋,,げざ,5
nan,"[45050, 45114, 45115, 45288, 45292, 45936, 45938, 46505, 46507, 46509, 46511, 46521, 46523, 46726, 46729, 46742, 46821, 46822, 46823, 46900, 46901, 47168, 47409, 47512, 47514, 47767, 47768, 47777, 47778, 49037, 49042, 49051, 49060, 49061, 49062, 49063, 50948, 50949, 50951, 50952, 50957, 50958, 50959, 50960, 50961, 50962, 50989, 50990, 50991, 52436, 52437, 52454, 52462, 52468, 52828, 52829, 52836, 52839, 52840, 52841, 52842, 52843, 52844, 52845, 52846, 52848, 52849, 53019, 53962, 54875, 54876, 54880, 54881, 56048, 56049, 56413, 56415, 56416, 60722, 60723, 61130, 61138, 61177, 61186, 61218, 61235]","Hishida Kōji, Keeper of heads",菱田宏治,,ひしだこうじ,6
nan,"[44992, 45058, 45114, 45116, 45250, 45258, 45349, 45353, 46505, 46539, 46541, 46726, 46900, 46902, 47413, 47414, 47421, 47422, 47423, 50947, 51029, 51030, 51031, 51034, 52562, 55878, 55879, 55880, 55882, 55884, 55885, 55886, 56506, 56517, 56518, 56520, 56522, 56523, 56526, 56527, 56528, 56530, 56531, 61131, 62222, 62223]","Ishibashi Osamu, Costume director",石橋長武,,いしばしおさむ,7
nan,"[44979, 44985, 44986, 44987, 44988, 44989, 44994, 44995, 44999, 45000, 45007, 45013, 45017, 45030, 45049, 45050, 45054, 45058, 45071, 45112, 45113, 45114, 45115, 45222, 45224, 45225, 45226, 45227, 45228, 45232, 45234, 45235, 45236, 45269, 45272, 45274, 45278, 45280, 45282, 45288, 45292, 45294, 45306, 45312, 45314, 45406, 45416, 45417, 45418, 45419, 45420, 45422, 45423, 45424, 45484, 45485, 45486, 45489, 45491, 45493, 45495, 45503, 45505, 45511, 45707, 45708, 45709, 45710, 45711, 45712, 45713, 45715, 45716, 45928, 45930, 45932, 45934, 45936, 45938, 45990, 46029, 46156, 46157, 46158, 46160, 46487, 46489, 46491, 46493, 46495, 46497, 46499, 46501, 46505, 46507, 46509, 46511, 46521, 46523, 46713, ...]",Puppet head,かしら,,かしら,8
nan,"[8859, 11637, 11638, 45050, 45058, 45218, 45219, 45220, 45302, 45926, 46037, 46517, 46724, 46821, 47359, 47495, 47496, 47497, 47498, 47499, 47500, 47501, 47502, 47503, 47506, 47507, 49034, 49035, 49271, 50979, 52481, 52627, 52673, 52674, 54855, 54888, 54889, 56246, 56247, 56248, 56249, 56250, 56251, 56252, 56253, 57529, 57530, 57531, 57533, 57535, 57538, 57539, 57540, 57541, 57542, 57543, 57544, 57545, 57546, 57547, 57548, 57549, 57550, 57551, 57552, 57553, 57554, 57555, 57556, 57897, 57898, 57899, 57986, 57987, 57988, 57989, 58044, 58230, 58231, 58232, 58233, 58234, 58294, 58295, 60684, 61133, 61174, 61180, 61198, 61269, 61412, 61660, 61811, 61812]",Props,小道具,,こどうぐ,9
Hourglass-shaped drum played at shoulder level with the hand.,"[9067, 9068, 9069, 9070, 9100, 9104, 9107, 9108, 9109, 9110, 9111, 9112, 9113, 9114, 9115, 9116, 9117, 9118, 9119, 9120, 9121, 9122, 9124, 9125, 9135, 9136, 9139, 9140, 9143, 9151, 9170, 9171, 9172, 9173, 9185, 9186, 12857, 12862, 12863, 12864, 12865, 12866, 12867, 12868, 12870, 12981, 12985, 13044, 13078, 45004, 45068, 45304, 45433, 45445, 45460, 46135, 46137, 46856, 46857, 47702, 47703, 49556, 49557, 49558, 49559, 49562, 49568, 49569, 51776, 51793, 51794, 52355, 52670, 54995, 54997, 54999, 55000, 59133, 59134, 59135, 61977, 62206, 62207, 62208, 62209, 62210]",Kotsuzumi [hourglass-shaped drum],小鼓,,こつづみ,10
